ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
-94668471,2022-12-01 21:56:41,2022-12-01 21:56:53,Apple,iOS,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,male,16 - 17,2006,At least once a month,At least once a week,Once a year or less,Several times a year,At least once a month,Several times a year,At least once a month,prefer_not_to_say,prefer_not_to_say,university,self_employed,finance_and_insurance,prefer_not_to_say,prefer_not_to_say,en,sales_staff,prefer_not_to_say,,31906,South,South Atlantic,3,522,"Columbus, GA (Opelika, AL)",2.37,
-1582266103,2022-11-29 02:44:41,2022-11-29 02:45:06,Apple,iOS,Audience 1,US,Georgia,"McIntosh, Georgia, United States",Townsend,Unknown,female,35 - 44,1983,At least once a week,At least once a week,At least once a week,At least once a month,At least once a week,At least once a week,At least once a month,single,one,vocational_technical_college,employed_for_wages,transportation_and_warehousing,prefer_not_to_say,lower_ii,en,other_non_management,fiftyone_to_hundrend,31520 US,31331,South,South Atlantic,1,507,Savannah,0.61,
577713456,2022-11-29 02:27:54,2022-11-29 02:28:24,Apple,iOS,Audience 1,US,Georgia,"Thomas, Georgia, United States",Thomasville,Unknown,female,18 - 24,2000,Once a year or less,At least once a month,At least once a week,At least once a week,At least once a week,Never,At least once a week,single,zero,high_school,student,education,black,prefer_not_to_say,en,prefer_not_to_say,do_not_work,31792 US,31792,South,South Atlantic,8,530,Tallahassee-Thomasville,0.44,
-1561677432,2022-11-29 02:07:10,2022-11-29 02:07:51,Unknown,Android,Audience 1,US,Georgia,"Sumter, Georgia, United States",Americus,Unknown,female,> 54,1952,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,At least once a week,married,three,high_school,retired,other,white,lower_ii,en,other_non_management,do_not_work,31719 US,31719,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",1.83,
-1085438390,2022-11-29 01:48:57,2022-11-29 01:49:52,Unknown,Android,Audience 1,US,Georgia,"Lowndes, Georgia, United States",Valdosta,Unknown,female,> 54,1956,Never,At least once a week,Never,Never,Never,Never,At least once a month,widowed,two,vocational_technical_college,unemployed_looking,personal_services,black,lower_i,en,prefer_not_to_say,fiftyone_to_hundrend,31602 US,31602,South,South Atlantic,8,530,Tallahassee-Thomasville,2.56,
-1562581236,2022-11-30 02:45:55,2022-11-30 02:46:16,Apple,iOS,Audience 1,US,Georgia,"Bulloch, Georgia, United States",Statesboro,Verizon,female,18 - 24,2002,At least once a week,At least once a month,Once a year or less,At least once a month,At least once a week,At least once a week,Several times a year,prefer_not_to_say,prefer_not_to_say,high_school,student,other,white,lower_ii,en,other_non_management,eleven_to_twentyfive,,30458,South,South Atlantic,12,507,Savannah,0.44,
-2048102558,2022-11-30 02:23:12,2022-11-30 02:23:45,Motorola,Android,Audience 1,US,Georgia,"Bibb, Georgia, United States",Macon,Verizon,female,45 - 54,1972,At least once a week,At least once a week,At least once a month,At least once a month,At least once a month,At least once a week,At least once a week,single,zero,vocational_technical_college,employed_for_wages,health_care_and_social_assistance,black,lower_ii,en,technical_staff,fivehundrendsone_to_thousand,31206 US,31294,South,South Atlantic,,503,Macon,1.28,
816013155,2022-11-28 16:19:36,2022-11-28 16:20:07,Unknown,Windows Phone,Audience 1,US,Georgia,"Walton, Georgia, United States",Loganville,Unknown,male,35 - 44,1986,Several times a year,At least once a week,Once a year or less,Once a year or less,At least once a month,At least once a week,At least once a month,prefer_not_to_say,one,high_school,other,shipping_distribution,white,high_ii,en,buyer_purchasing_agent,twentysix_to_fifty,30052 US,30052,South,South Atlantic,10,524,Atlanta,0.63,
-1886595811,2022-11-28 21:30:34,2022-11-28 21:31:10,Unknown,Android,Audience 1,US,Georgia,"Colquitt, Georgia, United States",Norman Park,Unknown,female,45 - 54,1969,At least once a week,At least once a week,At least once a month,Several times a year,At least once a week,At least once a week,At least once a week,married,zero,high_school,unable_to_work,other,white,lower_i,en,not_work,do_not_work,31788 US,31771,South,South Atlantic,8,525,"Albany, GA",1.28,
-275040763,2022-11-28 16:02:07,2022-11-28 16:03:32,Unknown,Android,Audience 1,US,Georgia,"Clarke, Georgia, United States",Athens,Unknown,female,35 - 44,1978,Several times a year,Several times a year,At least once a month,Several times a year,At least once a month,At least once a month,At least once a week,single,zero,postgraduate,employed_for_wages,finance_and_insurance,asian,lower_ii,en,faculty_staff,fiftyone_to_hundrend,30678 US,30605,South,South Atlantic,10,524,Atlanta,0.72,
1051339731,2022-12-01 15:57:05,2022-12-01 15:58:03,Motorola,Android,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Verizon,female,25 - 34,1991,Never,At least once a week,Several times a year,Once a year or less,Once a year or less,Never,At least once a month,single,zero,high_school,student,retail,asian,lower_i,en,sales_staff,eleven_to_twentyfive,31904 US,31907,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",0.51,
-202124598,2022-12-05 10:27:39,2022-12-05 10:28:15,Unknown,Web,Audience 1,US,Georgia,"Muscogee, Georgia, United States",Columbus,Unknown,female,16 - 17,2006,At least once a month,Once a year or less,Once a year or less,Once a year or less,Never,At least once a week,Never,single,zero,middle_school,employed_for_wages,real_estate_rental_or_leasing,white,lower_i,en,sales_staff,twohundrendfiftyone_to_fivehundrends,31907 US,31907,South,South Atlantic,2,522,"Columbus, GA (Opelika, AL)",1.59,
-1130085577,2022-11-29 03:42:43,2022-11-29 03:43:20,Unknown,Android,Audience 1,US,Georgia,"Baldwin, Georgia, United States",Milledgeville,Unknown,male,25 - 34,1996,Once a year or less,At least once a month,Several times a year,Never,Never,Once a year or less,At least once a week,single,prefer_not_to_say,high_school,self_employed,advertising,white,middle_ii,en,supervisor,one,31061 US,31061,South,South Atlantic,10,503,Macon,1.26,
