ID,Time Started,Time Finished,Manufacturer,OS,Audience,Country,Area,County,City,Provider,Gender,Age,Year Of Birth,How often do you hear about inflation in the media?,How often do you hear about COVID-19 in the media?,How often do you hear about climate change in the media?,How often do you hear about border security in the media?,How often do you hear about gun policies in the media?,How often do you hear about abortion in the media?,How often do you hear about Ukraine in the media?,Marital Status,Number of children,Education,Employment Status,Career,Race,Income,Spoken Languages,Organization Role,Number of Employees,Residential Postal Code,Location Postal Code,US Census Region,US Census Division,US Congressional District,DMA Code,DMA Name,Weight,
-1023416045,2022-11-29 18:07:32,2022-11-29 18:08:02,Unknown,Android,Audience 1,US,North Carolina,"Craven, North Carolina, United States",New Bern,Unknown,male,25 - 34,1992,Never,At least once a week,At least once a week,At least once a week,Once a year or less,At least once a week,At least once a week,living_with_partner,zero,university,employed_for_wages,shipping_distribution,white,middle_i,en,supervisor,twentysix_to_fifty,28560 US,28560,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.69,
1975703573,2022-11-28 15:58:44,2022-11-28 15:59:15,Unknown,Android,Audience 1,US,North Carolina,"Mecklenburg, North Carolina, United States",Charlotte,Unknown,male,45 - 54,1968,Never,At least once a month,At least once a week,At least once a month,Never,At least once a week,Once a year or less,married,zero,high_school,employed_for_wages,education,white,middle_i,en,c_level_executive,hundrendone_to_twohundrendsfifty,,28277,South,South Atlantic,12,517,Charlotte,1.93,
1725150056,2022-11-28 22:42:16,2022-11-28 22:42:56,Unknown,Android,Audience 1,US,North Carolina,"Beaufort, North Carolina, United States",Washington,Unknown,male,25 - 34,1988,At least once a week,At least once a week,At least once a week,Several times a year,At least once a week,At least once a month,At least once a month,married,one,vocational_technical_college,self_employed,construction,white,middle_i,en,middle_management,hundrendone_to_twohundrendsfifty,27889 US,27889,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.71,
696816060,2022-11-28 21:12:40,2022-11-28 21:13:18,Apple,iOS,Audience 1,US,North Carolina,"Iredell, North Carolina, United States",Mooresville,Unknown,male,35 - 44,1979,At least once a week,At least once a month,At least once a month,Once a year or less,At least once a month,At least once a week,At least once a week,married,three,high_school,unable_to_work,other,white,lower_ii,en,prefer_not_to_say,do_not_work,27021 US,28115,South,South Atlantic,13,517,Charlotte,0.67,
-453705027,2022-11-28 19:48:33,2022-11-28 19:49:06,Unknown,Web,Audience 1,US,North Carolina,"Wake, North Carolina, United States",Holly Springs,Unknown,male,35 - 44,1987,At least once a month,Never,At least once a week,Once a year or less,At least once a week,At least once a week,Several times a year,married,one,high_school,unemployed_looking,shipping_distribution,white,lower_ii,en,supply_manager,do_not_work,,27540,South,South Atlantic,6,560,Raleigh-Durham (Fayetvlle),0.71,
1313628654,2022-11-28 19:37:48,2022-11-28 19:39:26,Unknown,iOS,Audience 1,US,North Carolina,"Halifax, North Carolina, United States",Roanoke Rapids,Unknown,female,18 - 24,2003,Once a year or less,Once a year or less,At least once a month,At least once a month,At least once a month,Once a year or less,Never,living_with_partner,zero,high_school,employed_for_wages,health_care_and_social_assistance,black,lower_i,en,faculty_staff,twohundrendfiftyone_to_fivehundrends,23669 US,27870,South,South Atlantic,1,560,Raleigh-Durham (Fayetvlle),0.48,
-2074367514,2022-11-28 17:45:06,2022-11-28 17:45:40,Unknown,Web,Audience 1,US,North Carolina,"Wake, North Carolina, United States",Cary,Unknown,male,18 - 24,2000,At least once a month,At least once a week,Once a year or less,Once a year or less,Once a year or less,At least once a month,Several times a year,single,zero,high_school,employed_for_wages,marketing_sales,black,middle_ii,en,sales_staff,hundrendone_to_twohundrendsfifty,,27511,South,South Atlantic,4,560,Raleigh-Durham (Fayetvlle),0.58,
2007385619,2022-11-28 23:31:16,2022-11-28 23:31:51,Unknown,Android,Audience 1,US,North Carolina,"Rockingham, North Carolina, United States",Reidsville,Unknown,female,35 - 44,1979,At least once a month,At least once a week,Once a year or less,At least once a month,At least once a week,Never,At least once a month,married,six_or_more,high_school,other,homemaker,white,lower_ii,en,other_non_management,do_not_work,27288 US,27320,South,South Atlantic,6,518,Greensboro-H.Point-W.Salem,0.55,
-1808238018,2022-11-28 18:24:58,2022-11-28 18:25:31,Unknown,Android,Audience 1,US,North Carolina,"New Hanover, North Carolina, United States",Wilmington,Unknown,male,35 - 44,1979,At least once a week,Several times a year,At least once a month,Once a year or less,At least once a week,At least once a week,Several times a year,single,two,high_school,unemployed_looking,other,white,lower_ii,en,prefer_not_to_say,one,28403 US,28403,South,South Atlantic,7,550,Wilmington,0.67,
1582609997,2022-11-28 21:41:09,2022-11-28 21:41:36,Unknown,Android,Audience 1,US,North Carolina,"Lenoir, North Carolina, United States",Kinston,Unknown,male,25 - 34,1988,At least once a week,At least once a month,Never,Once a year or less,At least once a month,At least once a week,Once a year or less,married,two,high_school,employed_for_wages,health_care_and_social_assistance,white,middle_ii,en,president_ceo_chairperson,thousandone_to_fivethousands,28501 US,28504,South,South Atlantic,3,545,Greenville-N.Bern-Washngtn,0.71,
