"","Var1","Freq"
"1","ABC",34
"2","AJC",3
"3","BBC",2
"4","CBN",2
"5","CBS",12
"6","CNN",33
"7","FOX",57
"8","FOX5",39
"9","GOOGLE",7
"10","GPB",1
"11","HLN",1
"12","MSNBC",3
"13","NBC",24
"14","NEWS24",1
"15","NEWSPAPER",13
"16","NYT",5
"17","OAN",2
"18","RADIO",4
"19","SOCIAL MEDIA",25
"20","USA",1
"21","WALB",6
"22","WAPO",1
"23","WDEF",3
"24","WDHN",1
"25","WDUN-RADIO",1
"26","WGCL",4
"27","WJBF",5
"28","WMAZ",14
"29","WPCH-TV",1
"30","WRBL",2
"31","WRCB",1
"32","WRDW",2
"33","WSBTV",27
"34","WSOCTV",1
"35","WTOC",7
"36","WTVM",8
"37","WXIA",5
