"","Title","author","outlet","links"
"1","
        
            Pilot reported engine trouble before deadly Winston-Salem crash
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/pilot-reported-engine-trouble-before-deadly-winston-salem-crash/article_7b46adc2-692f-11ed-9f68-cf011af21f99.html"
"2","
        
            Two Winston-Salem men shot early Sunday; one has life-threating injuries
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/two-winston-salem-men-shot-early-sunday-one-has-life-threating-injuries/article_84c808ac-6914-11ed-bd65-a78a4b3e04cb.html"
"3","
        
            Solar snapshot: One week of proposed NC projects
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/solar-snapshot-one-week-of-proposed-nc-projects/article_2bb25acc-679a-11ed-b37d-5bad1d656861.html"
"4","
        
            Cold snap to grip Triad into next week
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/cold-snap-to-grip-triad-into-next-week/article_a201524a-66c9-11ed-8ba2-e7a70b499566.html"
"5","
        
            Greensboro's Volvo Trucks, Pilot to create national electric-truck charging network
        
    ","John Deem","Independent Tribune","https://independenttribune.com/news/state-and-regional/greensboros-volvo-trucks-pilot-to-create-national-electric-truck-charging-network/article_54507530-2f8c-55db-9324-a2655ca5d726.html"
"6","
        
            Greensboro's Volvo to help create charging network for big rigs
        
    ","John Deem","Greensboro News & Record","https://greensboro.com/news/local/power-trips-greensboros-volvo-to-help-create-charging-network-for-big-rigs/article_4dc8ca10-6547-11ed-8aec-2ffaba5e07d7.html"
"7","
        
            Greensboro's Volvo Trucks, Pilot to create national electric-truck charging network
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/greensboros-volvo-trucks-pilot-to-create-national-electric-truck-charging-network/article_21ea89ee-652c-11ed-a665-bfedfb76b02d.html"
"8","
        
            Greensboro set to take on 'forever chemicals'
        
    ","John Deem","Independent Tribune","https://independenttribune.com/news/state-and-regional/greensboro-set-to-take-on-forever-chemicals/article_4b40c218-3fe8-5b6a-919b-024132bb9ad1.html"
"9","
        
            Armed with new technology, Greensboro officials ready to end 'forever chemicals'
        
    ","John Deem","Greensboro News & Record","https://greensboro.com/news/local/armed-with-new-technology-greensboro-officials-ready-to-end-forever-chemicals/article_2eddd7e2-647c-11ed-bfec-3bf60e832d0f.html"
"10","
        
            Greensboro set to take on 'forever chemicals'
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/greensboro-set-to-take-on-forever-chemicals/article_24a00b9c-6472-11ed-b8af-0f4b2519cbba.html"
"11","
        
            After criticism, Winston-Salem looks to add hybrid vehicles to fleet
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/after-criticism-winston-salem-looks-to-add-hybrid-vehicles-to-fleet/article_3dad32ba-6209-11ed-ba01-bff6fe4a74b5.html"
"12","
        
            Charlotte affordable housing residents to share electric vehicles
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/expanding-ev-access-charlotte-affordable-housing-residents-to-share-electric-vehicles/article_6739782a-5c8a-11ed-ace6-5be03d95f4bc.html"
"13","
        
            Leaves piled in Winston-Salem streets heighten flood threat
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/leaves-piled-in-winston-salem-streets-heighten-flood-threat/article_368545a4-6146-11ed-b294-43d57cd5a913.html"
"14","
        
            Camp Lejeune electric 'microgrid' aimed at climate resiliency
        
    ","John Deem","Independent Tribune","https://independenttribune.com/news/state-and-regional/camp-lejeune-electric-microgrid-aimed-at-climate-resiliency/article_650d3e5e-50ec-50bd-b4ce-6b6aca8a235a.html"
"15","
        
            Camp Lejeune electric 'microgrid' aimed at climate resiliency
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/camp-lejeune-electric-microgrid-aimed-at-climate-resiliency/article_82290608-607e-11ed-af4e-5f8159fbd7bc.html"
"16","
        
            Nicole expected to bring heavy rain to Triad
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/nicole-expected-to-bring-heavy-rain-to-triad/article_646285ac-605d-11ed-b95e-2b094060f143.html"
"17","
        
            Bost, Apple win soil and water supervisor seats
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/bost-apple-win-soil-and-water-supervisor-seats/article_3b08253e-5fb5-11ed-9747-5fcc07eed00a.html"
"18","
        
            Republican Virginia Foxx wins 10th term in US House. She handily defeats Democratic challenger
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/republican-virginia-foxx-wins-10th-term-in-us-house-she-handily-defeats-democratic-challenger/article_62385cc6-5fda-11ed-a3b0-737c00bcc029.html"
"19","
        
            Duke Energy exec named company's NC president
        
    ","John Deem","Independent Tribune","https://independenttribune.com/news/local/duke-energy-exec-named-companys-nc-president/article_4174006d-a72f-5dd2-ae3f-476b9aa8e19b.html"
"20","
        
            Duke Energy exec named company's NC president
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/duke-energy-exec-named-companys-nc-president/article_cd49a5e0-5eec-11ed-b346-6b88fc56f9e7.html"
"21","
        
            NC looks to plug Triad electric vehicle charging gaps
        
    ","John Deem","Greensboro News & Record","https://greensboro.com/news/local/nc-looks-to-plug-triad-electric-vehicle-charging-gaps/article_bdf0adb6-45e3-54e4-ad66-42f2772a504f.html"
"22","
        
            NC looks to plug Triad electric vehicle charging gaps
        
    ","John Deem","Winston-Salem Journal","https://journalnow.com/news/local/nc-looks-to-plug-triad-electric-vehicle-charging-gaps/article_adbc95d6-5c6f-11ed-a209-e77f1e8e7a43.html"
"23","
        
            Triad UPS facilities part of federal hazardous waste settlement
        
    ","John Deem","Greensboro News & Record","https://greensboro.com/business/local/triad-ups-facilities-part-of-federal-hazardous-waste-settlement/article_b894d791-d7b7-58e5-beab-83bfa570aaf9.html"
"24","
        
            NC clears Duke to add 1,200 megawatts of solar capacity
        
    ","John Deem","Independent Tribune","https://independenttribune.com/news/local/nc-clears-duke-to-add-1-200-megawatts-of-solar-capacity/article_647b8aeb-bca0-583a-b293-54f8aa59f516.html"
"25","
        
            Cary buys solar system to power wastewater plant
        
    ","John Deem","Independent Tribune","https://independenttribune.com/news/state-and-regional/cary-buys-solar-system-to-power-wastewater-plant/article_1a63efcd-ee06-57fc-ac7b-91db7b0ae190.html"
"26","
        
            EPA Administrator Regan announces new environmental justice office, $3B in funding
        
    ","Adam Wagner","Yahoo Sports Canada","https://ca.sports.yahoo.com/news/epa-administrator-regan-announces-environmental-180915479.html?src=rss"
"27","
        
            EPA Administrator Regan announces new environmental justice office, $3B in funding
        
    ","Adam Wagner","The Charlotte Observer","https://www.charlotteobserver.com/news/politics-government/article266257236.html"
"28","
        
            EPA Administrator Regan announces new environmental justice office, $3B in funding
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/politics-government/article266257236.html"
"29","
        
            Carrboro, environmental groups to EPA: Cut UNC coal plant emissions or face lawsuit
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/politics-government/article265725406.html"
"30","
        
            Carrboro, environmental groups to EPA: Cut UNC coal plant emissions or face lawsuit
        
    ","Adam Wagner","News & Observer","https://www.newsobserver.com/news/politics-government/article265725406.html"
"31","
        
            Where will NC’s power come from? Hearing starting this week could be key to answers
        
    ","Adam Wagner","The Charlotte Observer","https://www.charlotteobserver.com/news/politics-government/article265673191.html#storylink=rss"
"32","
        
            Where will NC’s power come from? Hearing starting this week could be key to answers
        
    ","Adam Wagner","The Herald-Sun (Durham, NC)","https://www.heraldsun.com/news/politics-government/article265673191.html#storylink=rss"
