"","Article Title","Key Author","Date Published","News Outlet","Preview","Link","All Authors"
"1","
        
            NC is a Leading Pork and Poultry Producer. Now, a Company Wants to Grow Chicken in a Lab.
        
    ","Adam Wagner",2023-01-02,"perishablenews","Growing chickens and hogs is big business in North Carolina. Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility. Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.perishablenews.com/meatpoultry/nc-is-a-leading-pork-and-poultry-producer-now-a-company-wants-to-grow-chicken-in-a-lab/'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"2","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"startelegram","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.star-telegram.com/news/environment/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"3","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"tri-cityherald","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.tri-cityherald.com/news/environment/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"4","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"wichitaeagle","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.kansas.com/news/environment/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"5","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"sanluisobispo","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.sanluisobispo.com/news/environment/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"6","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"tri-cityherald","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.tri-cityherald.com/news/environment/article270273937.html#storylink=rss'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"7","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"miamiherald","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.miamiherald.com/news/local/environment/our-planet/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"8","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"startelegram","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.star-telegram.com/news/environment/article270273937.html#storylink=rss'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"9","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"myrtlebeachonline","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.myrtlebeachonline.com/news/environment/article270273937.html#storylink=rss'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"10","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"modbee","Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.  Believer Meats is investing more than $123 million to build a manufacturing facility in Wilson Corporate Park. When complete, the Wilson facility will employ about 100 people, with Believer targeting the production of about 22 million pounds of meat a year.","<a href='https://www.modbee.com/news/environment/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
"11","
        
            NC is a leading pork and poultry producer. Now, a company wants to grow chicken in a lab.
        
    ","Adam Wagner",2022-12-27,"bnd","Believer Meats, formerly known as Future Meat Technologies, has selected Wilson as the site of its first commercial facility. This photo shows Believer's chicken, which is grown in bioreactors and blended with protein. Believer Meats  Growing chickens and hogs is big business in North Carolina.  Now, a company that grows its meat in a lab instead of in barns is looking to Eastern North Carolina for the location of its first commercial-scale facility.","<a href='https://www.bnd.com/news/environment/article270273937.html'>Link to Article</a>","
    By Adam Wagner
        
            
    Verified


        
    
"
