"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Georgia Power proposes 12% increase in utility rates | Macon ...","<a href='https://www.macon.com/news/state/georgia/article266438671.html' target='_blank'>Link to Article</a>","2022-09-28","www.macon.com","The utility company discussed the rate increase during a hearing with the Public Service Commission that began Tuesday with a disagreement over just how much additional revenue Georgia Powers’ plan will bring in.","Gautama Mehta",""
"3","How energy costs are regulated in Georgia | Macon Telegraph","<a href='https://www.macon.com/news/state/georgia/article268402992.html' target='_blank'>Link to Article</a>","2022-11-07","www.macon.com","Ongoing hearings in Atlanta will determine whether the power company can raise rates by 12% over three years. Here’s what you need to know.","Gautama Mehta",""
"5","Jesup, Georgia pulp mill criticized for river pollution | Macon Telegraph","<a href='https://www.macon.com/news/article267105876.html' target='_blank'>Link to Article</a>","2022-10-17","www.macon.com","Why a wastewater discharge permit for Jesup’s Rayonier plant is in environmental advocates’ crosshairs.","Gautama Mehta",""
"8","Winners of 2022 Downtown Diversity Initiative announced | Macon ...","<a href='https://www.macon.com/news/business/article265730391.html' target='_blank'>Link to Article</a>","2022-09-13","www.macon.com","Five entrepreneurs received $5,000 grants as part of the 2022 Downtown Diversity Initiative, which works to attract more Black business owners and customers to Macon.","Gautama Mehta",""
"9","Most Bibb, GA, restaurants earn “A's” on health inspections | Macon ...","<a href='https://www.macon.com/news/business/article269404077.html' target='_blank'>Link to Article</a>","2022-12-01","www.macon.com","This round of routine inspections includes several downtown Macon spots. Here are the best scorers.","Gautama Mehta",""
"11","Larry Bush's Riverside Tire closes Friday. | Macon Telegraph","<a href='https://www.macon.com/news/business/article267268667.html' target='_blank'>Link to Article</a>","2022-10-13","www.macon.com","He’s made an arrangement with another family-owned tire company to take over tire, repair warranties.","Gautama Mehta",""
"13","Here are some of Macon's biggest Hispanic business owners ...","<a href='https://www.macon.com/news/business/article267314942.html' target='_blank'>Link to Article</a>","2022-10-17","www.macon.com","“They say, ‘I have been looking for this thing all over, and I found it here,’” one business owner said. “It can be any drink, or bubblegum… It can help people remember where they came from.”","Gautama Mehta",""
"14","M&H Wings, Subway, in Macon, GA, fail health inspections | Macon ...","<a href='https://www.macon.com/news/business/article268129552.html' target='_blank'>Link to Article</a>","2022-11-01","www.macon.com","Another Macon restaurant fails its followup inspection after receiving a “C” at routine inspection.","Gautama Mehta",""
"15","Gautama Mehta | Georgia Public Broadcasting","<a href='https://www.gpb.org/author/gautama-mehta' target='_blank'>Link to Article</a>",NA,"www.gpb.org",NA,"Gautama Mehta",""
"16","Georgia offered schools money to test their water for lead. Most didn ...","<a href='https://www.macon.com/news/state/georgia/article268891637.html' target='_blank'>Link to Article</a>","2023-01-03","www.macon.com","Advocates say schools may be worried about the potential costs of if they find lead — and the state hasn’t provided funding to help.","Gautama Mehta",""
"17","Georgia Power facing lawsuits over pollution concerns connected to ...","<a href='https://www.macon.com/news/state/georgia/article272292293.html' target='_blank'>Link to Article</a>","2023-02-10","www.macon.com","Monroe County courts could hear two lawsuits from residents seeking compensation from Georgia Power for the alleged health effects of a coal plant","Gautama Mehta",""
"18","MAP: $12 billion in clean energy facilities built in Georgia | Macon ...","<a href='https://www.macon.com/news/business/article274537741.html' target='_blank'>Link to Article</a>","2023-04-21","www.macon.com","Here’s where large-scale manufacturing projects are being built across the Peach State.","Gautama Mehta",""
"19","Bill to protect Okefenokee Swamp still can't get a vote | Macon ...","<a href='https://www.macon.com/news/state/georgia/article273565470.html' target='_blank'>Link to Article</a>","2023-03-26","www.macon.com","Natural Resources chair Lynn Smith won’t commit to giving popular conservation bill a vote. “If somebody pushes me, I slow down”","Gautama Mehta",""
