"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Georgia Power, PSC staff reach agreement on new electricity rates","<a href='https://www.ajc.com/news/georgia-power-psc-staff-reach-agreement-on-new-electricity-rates/E7PSIE5BJZHDNFHNSGNK2SLGOA/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power and staff for state regulators reached an agreement for the company to back off some of the steepest electricity rate increases it had proposed charging its 2.7 million customers over the next three years, according to a filing released Wednesday.","Drew Kann",""
"2","Text messages reveal alleged effort to redraw Democrat out of ...","<a href='https://www.ajc.com/news/messages-reveal-effort-to-draw-democrat-out-of-georgia-psc-district/WIT6N5ZDZNGFJPBTFA5PB54CZE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Text messages and emails obtained by The Atlanta Journal-Constitution reveal how Public Service Commission Chairman Tricia Pridemore and Commissioner Tim Echols discussed district boundaries and the address of Echols' potential Democratic opponent.","Drew Kann",""
"3","Georgia Power's Vogtle spending climbs, but no new delays forecast","<a href='https://www.ajc.com/news/georgia-powers-vogtle-spending-climbs-but-no-new-delays-forecast/26PNOWO6B5BELAU4LZTVBEDJEQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power spent more than $500 million dollars on the two new nuclear reactors at Plant Vogtle in the first half of this year and it may take another $1 billion to complete the project, the company said Wednesday.","Drew Kann",""
"4","Vogtle co-owner moves to freeze costs, shift more to Georgia Power","<a href='https://www.ajc.com/news/vogtle-co-owner-moves-to-freeze-costs-shift-more-to-georgia-power/UIK4UZT36VABBLQEOQ7GEEXPAE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Oglethorpe Power pulled a release valve to exercise a one-time option to cap the construction costs it will have to pay for Plant Vogtle Units 3 and 4 at $8.1 billion.","Drew Kann",""
"5","Atlanta welcomes first-ever female Hungarian 'Freedom Fighter' statue","<a href='https://www.ajc.com/news/atlanta-welcomes-first-ever-female-hungarian-freedom-fighter-statue/V3BKQU5OMRHP7KN3DCLP5UWZPQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","On the 66th anniversary of Hungary’s 1956 uprising against the country’s Soviet government, a group of diplomats, survivors of the revolution and their families gathered in Atlanta Sunday to dedicate a new statue honoring the “Freedom Fighters” who stood up to the oppressive Communist regime.","Drew Kann",""
"6","Negotiations over Georgia Power's rate hikes appear to stall","<a href='https://www.ajc.com/news/negotiations-over-georgia-powers-rate-hikes-appear-to-stall/PMBP2NNMO5FRVDD7PICX4PIQWE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power and staff for state utility regulators appear to be in a stalemate over the company’s request to raise its electricity rates, people with knowledge of the negotiations tell The Atlanta Journal-Constitution.","Drew Kann",""
"7","More record heat grips Georgia, threatening vulnerable populations","<a href='https://www.ajc.com/news/more-record-heat-grips-georgia-threatening-vulnerable-populations/ZU3RR2FWJVBLDBGVDLJ7NSRCSQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Another spell of extremely high temperatures gripped Atlanta on Wednesday and is expected to stick around on Thursday, as the remnants of a heat wave that shattered temperature records across the Upper Midwest and Great Plains settles over the Southeast.","Drew Kann",""
"8","As heat waves grow more frequent, researchers hunt for Atlanta's ...","<a href='https://www.ajc.com/news/as-heat-risk-grows-researchers-hunt-for-atlantas-hotspots/O6QQJPGV4JDJ5LKE37FZHMSLZM/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Climate scientists say extreme heat events, like the one Atlanta experienced this week, bear the fingerprints of human-caused climate change. And as the city warms, a new initiative is aiming to capture a fuller picture of the heat risk faced in different neighborhoods.","Drew Kann",""
"9","How do PFAS enter our bodies? Emory researchers want to find out","<a href='https://www.ajc.com/news/how-do-pfas-enter-our-bodies-emory-researchers-want-to-find-out/C5ZVWAADJRCINFKLMEA6B7YQRI/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A group of Emory researchers have received $250,000 in new federal funding to investigate how PFAS chemicals get into our bodies.","Drew Kann",""
"10","Court decision will allow Georgia Power to recover coal ash costs ...","<a href='https://www.ajc.com/news/ga-supreme-court-wont-hear-challenge-to-georgia-powers-coal-ash-plan/LGVN3JWY2FFSDPA5VXUL4MW2R4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A ruling this week by Georgia’s highest court means Georgia Power’s rate payers will continue to foot the bill for some of the cost of storing the company’s coal ash around the state, under the terms of a plan approved by state utility regulators.","Drew Kann",""
"11","Rivian opponents sue to halt excavation work on Georgia EV plant site","<a href='https://www.ajc.com/news/rivian-opponents-sue-to-halt-excavation-work-on-georgia-ev-plant-site/KOHWSDJA7REAJAQYAG3KJ4C6ZQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Residents near the future $5 billion Rivian electric vehicle plant sued Friday to try to stop grading work on the property, alleging the site isn’t properly zoned and that local officials are turning a blind eye.","Drew Kann",""
"12","Ohio decision could affect Georgia Power's plans for storing coal ash","<a href='https://www.ajc.com/news/ohio-decision-could-affect-georgia-powers-plans-for-storing-coal-ash/F63F65MZXRE5RKL24AR3RJ26TY/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A federal agency’s decision to stop an Ohio power company from dumping more toxic coal ash in an unlined pond has brought fresh scrutiny to Georgia Power’s own waste storage plans and whether they could cost the company and, potentially, ratepayers down the line.","Drew Kann",""
"13","Georgia utility commission elections off again after U.S. Supreme ...","<a href='https://www.ajc.com/news/us-supreme-court-puts-psc-elections-on-hold-again/WKVTQ2EFTVH3NK7UA6H4AWYYBQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","November elections for two Georgia Public Service Commission seats may not be held after the U.S. Supreme Court vacated an appeals court decision in a voting rights case and the state dropped its push for a stay that may have kept the races on ballots this fall, citing the fast-approaching election.","Drew Kann",""
"14","Georgia Power begins loading fuel into one of Plant Vogtle's new units","<a href='https://www.ajc.com/news/georgia-power-begins-loading-fuel-into-one-of-plant-vogtles-new-units/USZORAOJ4FHWBIVXFRLTVNKIYY/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power announced early Friday morning that engineers at Plant Vogtle have begun loading fuel into the first of two new reactors at the site, a significant step toward generating electricity from the first commercial nuclear units built in the U.S. in three decades.","Drew Kann",""
"15","Georgia solar industry faces headwinds at home and abroad","<a href='https://www.ajc.com/news/georgia-solar-industry-faces-headwinds-at-home-and-abroad/NJV4JZXCNZCMRG7HRCFKXVQZ2Y/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","After being hamstrung for months by supply chain constraints, reaction from Georgia solar companies to moves this week by the White House to boost clean energy has been mixed.","Drew Kann",""
