"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"2","Georgia 'refilleries' are having a resurgence, helping customers cut ...","<a href='https://www.wabe.org/georgia-refilleries-help-customers-cut-back-on-plastic/' target='_blank'>Link to Article</a>","2022-05-02","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Outside a […]","Emily Jones",""
"3","At sweltering Southwest Georgia military bases, pioneering a ...","<a href='https://www.wabe.org/in-sweltering-southwest-georgia-pioneering-a-cleaner-cooling-system/' target='_blank'>Link to Article</a>","2022-03-09","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Georgia is […]","Emily Jones",""
"4","Rivian will bring more climate jobs to Georgia, even as the state lags ...","<a href='https://www.wabe.org/rivian-will-bring-more-climate-jobs-to-georgia-even-as-the-state-lags-on-climate-policy/' target='_blank'>Link to Article</a>","2021-12-20","www.wabe.org","This coverage is made possible through a partnership with Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Electric truck manufacturer Rivian’s announcement last week that it would build a $5 billion plant in Georgia makes it the latest in a string of businesses promising green jobs … Continued","Emily Jones",""
"5","Regulators approve more solar, gas energy for Georgia Power ...","<a href='https://www.wabe.org/regulators-approve-more-solar-methane-energy-for-georgia-power/' target='_blank'>Link to Article</a>","2022-07-22","www.wabe.org","Georgia’s largest electric utility will add more solar power in the next five years, but will get an equal amount of energy from climate-warming natural gas under a plan approved […]","Emily Jones",""
"6","Marshes combat climate change by storing carbon. Scientists want ...","<a href='https://www.wabe.org/marshes-combat-climate-change-by-storing-carbon-scientists-want-to-know-how-much/' target='_blank'>Link to Article</a>","2022-07-05","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Early one […]","Emily Jones",""
"7","Georgia's main utility is blocking climate policy, report finds – WABE","<a href='https://www.wabe.org/georgias-main-utility-is-blocking-climate-policy-report-finds/' target='_blank'>Link to Article</a>","2022-04-19","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. A new […]","Emily Jones",""
"8","Right whale advocates appeal to boaters to protect endangered ...","<a href='https://www.wabe.org/right-whale-advocates-appeal-to-boaters-to-protect-endangered-species/' target='_blank'>Link to Article</a>","2022-02-10","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. The scientists […]","Emily Jones",""
"9","Flood insurance rates are rising for many coastal Georgians – just ...","<a href='https://www.wabe.org/flood-insurance-rates-are-rising-for-many-coastal-georgians-just-like-their-flood-risk/' target='_blank'>Link to Article</a>","2022-04-22","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. When Jackie […]","Emily Jones",""
"10","Georgians rocked by hurricanes prepare for future storms – WABE","<a href='https://www.wabe.org/georgians-rocked-by-hurricanes-prepare-for-future-storms/' target='_blank'>Link to Article</a>","2022-05-12","www.wabe.org","When Hurricane Matthew passed offshore of Georgia in 2016, it tore down trees, damaged houses and flooded much of the coast. But Larry and Donna Piper didn’t get much water […]","Emily Jones",""
"12","Researchers track nesting whimbrels on Georgia's coast – WABE","<a href='https://www.wabe.org/researchers-track-nesting-whimbrels-on-georgias-coast/' target='_blank'>Link to Article</a>","2022-05-31","www.wabe.org","Coastal Georgia’s islands, beaches and marshes are ideal habitats for all sorts of migrating birds, which means they’re also ideal for monitoring those bird species.  One such effort, coordinated by […]","Emily Jones",""
"13","As warehousing booms and trees come down, communities struggle ...","<a href='https://www.wabe.org/as-warehousing-booms-and-trees-come-down-communities-struggle-to-find-balance/' target='_blank'>Link to Article</a>","2022-06-27","www.wabe.org","This story was updated on June 30. Arborist Mike Pavlis spent a recent morning walking around a couple of large properties in Savannah that are slated for development. Right now, […]","Emily Jones",""
"14","Georgia woos a second electric vehicle plant with $5.5 billion ...","<a href='https://www.wabe.org/georgia-woos-a-second-electric-vehicle-plant-with-5-5-billion-hyundai-factory/' target='_blank'>Link to Article</a>","2022-05-20","www.wabe.org","Another giant electric vehicle plant is coming to Georgia.  Hyundai announced Friday it is planning a manufacturing facility for EVs and electric vehicle batteries in Bryan County, near Savannah. The […]","Emily Jones",""
"16","Southern Company spent millions on misinformation despite climate ...","<a href='https://www.wabe.org/southern-company-spent-millions-on-climate-misinformation-despite-early-climate-change-warnings-report-finds/' target='_blank'>Link to Article</a>","2022-06-09","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Southern Company, […]","Emily Jones",""
"18","Georgia state regulators may stick with coal – despite Georgia ...","<a href='https://www.wabe.org/georgia-state-regulators-may-stick-with-coal-despite-georgia-powers-plan-to-shut-it-down/' target='_blank'>Link to Article</a>","2022-06-30","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. When the […]","Emily Jones",""
"19","Dashboard tracks emissions across Georgia – WABE","<a href='https://www.wabe.org/dashboard-tracks-emissions-across-georgia/' target='_blank'>Link to Article</a>","2022-03-01","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Georgians can now […]","Emily Jones",""
"20","Georgia leaders split on calls for energy action – WABE","<a href='https://www.wabe.org/georgia-leaders-split-on-calls-for-energy-action/' target='_blank'>Link to Article</a>","2022-04-13","www.wabe.org","Georgia leaders this week called on the federal government to do more about high gas prices — though they don’t agree on what should be done. Georgia Attorney General Chris […]","Emily Jones",""
"21","Push for Atlanta-Savannah rail line gains steam - The Current","<a href='https://thecurrentga.org/2022/03/15/push-for-atlanta-savannah-rail-line-gains-steam/' target='_blank'>Link to Article</a>","2022-03-15","thecurrentga.org","GDOT will study the possibility of a high speed rail line from Savannah to Atlanta.","Emily Jones",""
"22","Georgia 'refilleries' are having a resurgence, helping customers cut ...","<a href='https://georgiarecorder.com/2022/05/05/georgia-refilleries-are-having-a-resurgence-helping-customers-cut-back-on-plastic/' target='_blank'>Link to Article</a>","2022-05-05","georgiarecorder.com","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Outside a Savannah apartment building last Thursday, next to a food truck serving up po’boys sat a small box truck emblazoned with green leaves. Inside are wooden shelves of […]","Emily Jones",""
"23","Emory med school teaches health risks of climate change – WABE","<a href='https://www.wabe.org/emory-med-school-teaches-health-risks-of-climate-change/' target='_blank'>Link to Article</a>","2022-01-20","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Emory School […]","Emily Jones",""
"24","Georgia lags in emission-cutting policies even as it lands major EV ...","<a href='https://www.albanyherald.com/news/georgia-lags-in-emission-cutting-policies-even-as-it-lands-major-ev-maker/article_5a444310-6272-11ec-be28-eb09f8559ea8.html' target='_blank'>Link to Article</a>",NA,"www.albanyherald.com","ATLANTA -- Electric truck manufacturer Rivian’s announcement last week that it would build a $5 billion plant in Georgia makes it the latest in a string of businesses promising green","Emily Jones",""
"25","The next frontier in medicine: Doctors with climate training | Grist","<a href='https://grist.org/health/the-next-frontier-in-medicine-doctors-with-climate-training/' target='_blank'>Link to Article</a>","2022-03-24","grist.org","Medical schools across the country are increasingly reckoning with the need to teach the intersection of climate change and health.","Emily Jones",""
