"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","New weather probe looks to collect data as hurricanes make landfall","<a href='https://www.starnewsonline.com/story/news/2021/10/11/new-weather-station-probe-collects-data-hurricanes-make-landfall/5889252001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Can the new Sentinel weather station do what few other monitoring systems have done? Survive a major hurricane as it makes landfall.","Gareth McGrath",""
"2","Plans for Brunswick County offshore wind farm move forward","<a href='https://www.starnewsonline.com/story/news/2021/12/20/plans-brunswick-county-offshore-wind-farm-move-forward/8896904002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Despite local opposition, the federal government is moving forward with plans for an offshore wind farm south of Bald Head Island.","Gareth McGrath",""
"3","People are moving to NC from other states in droves. Where are ...","<a href='https://www.shelbystar.com/story/news/2021/08/09/ncs-growing-population-fueled-people-moving-nearby-states/5405710001/' target='_blank'>Link to Article</a>",NA,"www.shelbystar.com","Most new residents moving into North Carolina are coming from the South, not Northern states that are often blamed for the state's growth-related woes.","Gareth McGrath",""
"4","Drought grips North Carolina from Asheville to Wilmington","<a href='https://www.starnewsonline.com/story/news/2021/12/21/drought-north-carolina-climate-change-la-nina-asheville-wilmington-nc/8928762002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","La Nina is leading to abnormally dry conditions, with all of North Carolina now considered to be in drought.","Gareth McGrath",""
"5","Climate report a call to action. What can you do to make a difference?","<a href='https://www.starnewsonline.com/story/news/2021/08/18/un-climate-change-report-crisis-environment-how-help-fight-north-carolina/8118960002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","In the wake of a dire climate report's findings, what can individuals do to feel they are making a difference?","Gareth McGrath",""
"6","Study shows hurricane rainfalls are increasing due to climate change","<a href='https://www.starnewsonline.com/story/news/2021/11/23/study-shows-hurricane-rainfalls-increasing-due-climate-change/6404364001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Researchers studying old longleaf pines have found the trees are recording increased hurricane rainfalls due to climate change in their growth rings.","Gareth McGrath",""
"7","North Carolina beach maintenance costs increase amid climate ...","<a href='https://www.starnewsonline.com/story/news/2021/08/13/north-carolina-beach-maintenance-costs-rising-amid-climate-change-rising-seas/5567860001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","As the seas rise and temperatures increase, will North Carolina's oceanfront communities be able to maintain their beaches?","Gareth McGrath",""
"8","Southport hopes state funds can help stabilize eroded waterfront","<a href='https://www.starnewsonline.com/story/news/2021/10/19/southport-nc-hopes-state-funds-help-stabilize-eroded-waterfront-climate-change/6099552001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A North Carolina coastal community that has been battling erosion woes for decades hopes state aid can help stabilize its waterfront.","Gareth McGrath",""
"9","North Carolina clean energy bill puts state on path to green energy","<a href='https://www.starnewsonline.com/story/news/2021/11/03/north-carolina-clean-energy-bill-state-path-green-energy-coal-gas-greenhouse-emissions/5772955001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","As North Carolina looks to cut greenhouse gas emissions, renewables are taking center stage. But what future role should natural gas play?","Gareth McGrath",""
"10","Floating wetlands remove nutrients polluted waterways North Carolina","<a href='https://www.starnewsonline.com/story/news/2021/09/28/floating-wetlands-remove-nutrients-polluted-waterways-north-carolina/5788089001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Researchers are hoping mats of floating wetlands will help clean up some of North Carolina's most stressed waterways.","Gareth McGrath",""
"11","Wrightsville Beach can't use sand from inlet for nourishment project","<a href='https://www.starnewsonline.com/story/news/2021/11/02/wrightsville-beach-sand-nourishment-masonboro-inlet-feds-beaches-environment-birds/8556433002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Reversing a Trump-era decision, the Biden administration has said beach towns can't use sand from protected areas for beach nourishment projects.","Gareth McGrath",""
"12","NC living shorelines: Using nature to adapt to rising sea levels","<a href='https://www.starnewsonline.com/story/news/2021/09/13/nc-living-shorelines-using-nature-adapt-rising-sea-levels/5646604001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Residents and officials along the North Carolina coast are increasingly looking at living shorelines to give protection in a world of sea level rise.","Gareth McGrath",""
"13","Cape Lookout National Seashore receives Dark Sky Park designation","<a href='https://www.starnewsonline.com/story/news/2021/12/23/cape-lookout-national-seashore-receives-dark-sky-park-designation/8987569002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Cape Lookout National Seashore is embracing the night with its recent Dark Sky Park designation","Gareth McGrath",""
"14","Will supply chain issues impact my Thanksgiving feast?","<a href='https://www.starnewsonline.com/story/news/2021/11/22/supply-chain-issues-impact-my-thanksgiving-feast/8686340002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Officials say Thanksgiving staples should be readily available, but you'll have to dig deeper into your wallet for them.","Gareth McGrath",""
"15","Wilmington port looks to get deeper despite environmental concerns","<a href='https://www.starnewsonline.com/story/news/2021/12/28/wilmington-nc-port-deeper-despite-environment-concerns/8802609002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A deeper channel could mean more and bigger ships using the Wilmington port. But environmentalists worry about sea-level rise's impacts.","Gareth McGrath",""
"16","Sightings of Carolina panthers persist though evidence in short supply","<a href='https://www.starnewsonline.com/story/news/2021/10/06/sightings-carolina-panthers-persist-in-north-carolina-though-evidence-short-supply/8263266002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","It's been a century since a panther was sighted in North Carolina. But the legend of the big cat's presence continues to captivate the imagination.","Gareth McGrath",""
"17","Dying coral reefs bring Prince William and Wilmington native together","<a href='https://www.starnewsonline.com/story/news/2021/11/17/dying-reefs-coral-vita-prince-william-wilmington-native-climate-change-restoration-earthshot-prize/8588208002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A reef restoration company that includes a Wilmington native has been recognized by Prince William for its efforts.","Gareth McGrath",""
"18","Climate change helping fire ants march in North Carolina","<a href='https://www.starnewsonline.com/story/news/2021/08/20/climate-change-helping-red-fire-ants-march-north-carolina/8164755002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Climate change is helping imported fire ants extend their range in the Tar Heel State, including into some higher elevations of Western North Carolina.","Gareth McGrath",""
"19","Hurricane Fran 25th anniversary hit Wilmington two months after ...","<a href='https://www.starnewsonline.com/story/news/2021/09/02/hurricane-fran-25th-anniversary-hit-wilmington-nc-coast-two-months-after-bertha-1996-tropical-storm/5686276001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Hurricane Fran hammered the North Carolina coast two months after Hurricane Bertha hit the same areas, before bringing misery to many inland areas.","Gareth McGrath",""
"20","NC tree-protection rules could be cut down under state budget bill","<a href='https://www.starnewsonline.com/story/news/2021/09/20/north-carolina-tree-protection-rules-could-removed-state-budget-bill/8355529002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A provision in the proposed state budget bill could make it illegal for local NC governments to adopt tree-protection rules without approval.","Gareth McGrath",""
"21","Meet the StarNews staff members bringing you local news every day","<a href='https://www.starnewsonline.com/story/business/2021/10/04/wilmington-starnews-staff-list/5987269001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Get to know the reporters, photographers, editors and other staff members bringing you local news every day.","Gareth McGrath",""
"22","How to keep the lights on in the future: Duke, environmentalists ...","<a href='https://www.starnewsonline.com/story/news/2022/07/20/duke-energy-environmentalists-tussle-over-nc-carbon-reduction-plan/10052505002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Duke Energy and environmentalists have different views on what's the best way for North Carolina to reach its carbon-reduction goals.","Gareth McGrath",""
"23","Pay by the gallon or the mile? As more EVs hit NC roads, officials ...","<a href='https://www.starnewsonline.com/story/news/2022/07/25/nc-explores-new-road-funding-sources-gas-tax-revenue/10061171002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","As more electric and fuel-efficient vehicles hit North Carolina's roads, state officials are exploring new ways to raise revenue.","Gareth McGrath",""
"24","From Outer Banks to Wilmington, 1.8 million residents mired in drought","<a href='https://www.starnewsonline.com/story/news/2022/04/11/outer-banks-wilmington-nc-1-8-million-residents-mired-drought/7170287001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","With some areas of Eastern North Carolina more than 10 inches behind normal rainfall amounts since last fall, drought is growing across the region.","Gareth McGrath",""
"25","New tracking tower to help researchers learn about NC migratory birds","<a href='https://www.starnewsonline.com/story/news/2022/06/20/new-tracking-tower-help-researchers-learn-nc-migratory-birds/7615081001/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A new tracking tower in Pender County is one of several along the NC coast researchers are using to learn more about migratory birds.","Gareth McGrath",""
"26","New Outer Banks bridge carries NC 12 around erosion hot spots","<a href='https://www.starnewsonline.com/story/news/2022/07/29/new-outer-banks-bridge-carries-nc-12-around-erosion/10181279002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A new bridge carries NC 12 around some of the most notorious erosion hot spots on the Outer Banks. Does it represent the future?","Gareth McGrath",""
"27","Mountain bluebird spotted in Wrightsville Beach a long way from home","<a href='https://www.starnewsonline.com/story/news/2022/03/28/rare-mountain-bluebird-draws-bird-watchers-wrightsville-beach-north-carolina-climate-change-wildlife/9457261002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A mountain bluebird has shown up in Wrightsville Beach, thousands of miles from its normal range. It is second time the species has been recorded in NC.","Gareth McGrath",""
"28","Warming temperatures could mean fewer males in NC sea turtle nests","<a href='https://www.starnewsonline.com/story/news/2022/07/13/sea-turtles-warming-temperatures-could-mean-fewer-males-nc-nests/10028881002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","As climate change brings warmer temperatures, sea turtle nests in NC could produce increasingly female-heavy hatchlings and far fewer males.","Gareth McGrath",""
"29","Super hurricanes have some researchers pushing for a Cat 6 ...","<a href='https://www.starnewsonline.com/story/news/2022/05/02/super-hurricanes-have-some-researchers-pushing-cat-6-designation/9544641002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","As climate change makes hurricanes stronger and more dangerous, some researchers want to see a ""Category 6"" designation for these superstorms.","Gareth McGrath",""
"30","Interest in pawpaws is increasing as climate change looms","<a href='https://www.starnewsonline.com/story/news/2022/06/14/pawpaws-hillbilly-mango-climate-change/9898099002/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Pawpaw, an obscure native American fruit, is getting renewed attention as climate change will likely increase pressure on current fruits and crops.","Gareth McGrath",""
