"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"3","Wildfire in Hyde County continues to burn heading into the July ...","<a href='https://www.wral.com/wildfire-in-hyde-county-continues-to-burn-heading-into-the-july-fourth-weekend/20357235/' target='_blank'>Link to Article</a>","2022-07-01","www.wral.com","A wildfire in Hyde County is slowly burning through thousands of acres of peat soil.","Liz McLaughlin",""
"4","Winds bring down trees inside the Raleigh beltline","<a href='https://www.wral.com/winds-bring-down-trees-inside-the-raleigh-beltline/20499827/' target='_blank'>Link to Article</a>","2022-09-30","www.wral.com","The Triangle had several reports of downed trees and rainy conditions as Hurricane Ian moves toward North Carolina. WRAL reporter Liz McLaughlin reported on a downed tree along East Whitaker Mill Road near Center Road in Raleigh.","Liz McLaughlin",""
"5","Duke team gets global attention for rainforest drone project","<a href='https://www.wral.com/story/duke-team-gets-global-attention-for-rainforest-drone-project/20456838/' target='_blank'>Link to Article</a>","2022-09-09","www.wral.com","At a class starting this week at Duke, students are working on a drone project with money on the line. The Blue Devil Rainforest Divers have reached the semifinals in an XPrize contest, a global competition with a ten million dollar purse.","Liz McLaughlin",""
"6","'King tides' this week may foreshadow norms of the future as sea ...","<a href='https://www.wral.com/story/king-tides-this-week-may-foreshadow-norms-of-the-future-as-sea-level-rises/20375092/' target='_blank'>Link to Article</a>","2022-07-14","www.wral.com","When the moon is new or full and closest to Earth, the coast experiences ""king tides.""","Liz McLaughlin",""
"7","Final public hearings set for Tuesday on carbon plan development","<a href='https://www.wral.com/final-public-hearings-set-for-tuesday-on-carbon-plan-development/20427824/' target='_blank'>Link to Article</a>","2022-08-22","www.wral.com","The NC Utilities Commission will hear public feedback at two hearings Tuesday for the carbon plan it must develop by the end of the year to reduce carbon emissions from energy plants in the state. There has been backlash from climate activists about Duke Energy's proposal, which some say relies to heavily on natural gas.","Liz McLaughlin",""
"8","Supreme Court EPA ruling could shift focus to Cooper's climate plan","<a href='https://www.wral.com/supreme-court-epa-ruling-could-shift-focus-to-cooper-s-climate-plan/20355896/' target='_blank'>Link to Article</a>","2022-06-30","www.wral.com","The U.S. Supreme Court's decision Thursday to limit federal agencies' ability to regulate greenhouse gas puts pressure on state and local authorities to enact their own regulations to combat carbon emissions, environmental law experts say.","Liz McLaughlin",""
"9","One fish per day: Overfishing prompts limits on NC flounder","<a href='https://www.wral.com/one-fish-per-day-overfishing-prompts-limits-on-nc-flounder/20442919/' target='_blank'>Link to Article</a>","2022-09-01","www.wral.com","Overfishing has caused a decline in the flounder population, prompting state regulators to impose limits on recreational fishing.","Liz McLaughlin",""
"10","Rise in Durham development having adverse effect on local ...","<a href='https://www.wral.com/rise-in-durham-development-having-adverse-effect-on-local-waterways/20369666/' target='_blank'>Link to Article</a>","2022-07-11","www.wral.com","Concerned citizens in Durham County are pushing back against development that they say is tainting their waterways.","Liz McLaughlin",""
"11","'It's insane we're forced to live this way'; North Carolina residents ...","<a href='https://www.wral.com/it-s-insane-we-re-forced-to-live-this-way-north-carolina-residents-demand-accountability-as-chemical-polluter-expands-production/20468657/' target='_blank'>Link to Article</a>","2022-09-15","www.wral.com","Chemours, a spin-off of DuPont, is expanding production after letting toxic ""forever chemicals"" seep into the air, water, and soil. Thousands of North Carolina residents do not have clean drinking water at their homes because of the contamination.","Liz McLaughlin",""
"12","Beachfront home buyers threatened by rapidly-growing flood risk","<a href='https://www.wral.com/beachfront-home-buyers-threatened-by-rapidly-growing-flood-risk/20541553/' target='_blank'>Link to Article</a>","2022-10-27","www.wral.com","Whether its a vacation rental or a dream home, beach properties are increasingly threatened by climate change.","Liz McLaughlin",""
"13","Durham environmentalists worry over rapid development tainting ...","<a href='https://www.wral.com/durham-environmentalists-worry-over-rapid-development-tainting-waterways/20369667/' target='_blank'>Link to Article</a>","2022-07-11","www.wral.com","Concerned citizens in Durham County are pushing back against development that they say is tainting their waterways.","Liz McLaughlin",""
"14","Residents want answers and accountability for toxic chemicals in ...","<a href='https://www.wral.com/story/residents-want-answers-and-accountability-for-toxic-chemicals-in-nc-drinking-water/20451538/' target='_blank'>Link to Article</a>","2022-09-06","www.wral.com","Years after chemicals made by Chemours polluted drinking water for hundreds of thousands in North Carolina, many residents are still fighting to get access to clean water.","Liz McLaughlin",""
"15","EPA wants to designate two 'forever chemicals' as hazardous ...","<a href='https://www.wral.com/epa-wants-to-designate-two-forever-chemicals-as-hazardous-substances/20434001/' target='_blank'>Link to Article</a>","2022-08-26","www.wral.com","PFOA and PFOS have been linked to cancer and other health problems. Friday's EPA proposal would designate them as hazardous substances under the 1980 Superfund Law.","Liz McLaughlin",""
"16","NC seafood could become more expensive - or unavailable - as ...","<a href='https://www.wral.com/nc-seafood-could-become-more-expensive-or-unavailable-as-ocean-temperatures-increase/20540141/' target='_blank'>Link to Article</a>","2022-10-26","www.wral.com","You may not live near the ocean, but rising sea levels and warming water temperatures could impact your next seafood dinner.","Liz McLaughlin",""
"17","Concern over impact of rapid development in Durham County on ...","<a href='https://www.wral.com/rising-concern-over-impact-of-development-in-durham-county-ahead-of-tuesday-s-planning-meeting/20369797/' target='_blank'>Link to Article</a>","2022-07-11","www.wral.com","Durham County residents have noticed alarming changes to waterways after rapid development in the area, expressing concern about construction runoff contaminating drinking water. This, ahead of a Durham City-County meeting Tuesday with another development on the table that would span a massive 280 acres.","Liz McLaughlin",""
"18","Duke Energy has been biggest leaker of any US utility company for ...","<a href='https://www.wral.com/story/duke-energy-has-been-biggest-leaker-of-any-us-utility-company-for-six-of-the-last-11-years-epa-records-show/20487828/' target='_blank'>Link to Article</a>","2022-09-22","www.wral.com","Duke Energy is leaking an alarming amount of potent greenhouse gas that's 25,000 times more destructive to the atmosphere than carbon dioxide.","Liz McLaughlin",""
"19","Invasive spotted lanternfly threatens North Carolina vineyards ...","<a href='https://www.wral.com/story/invasive-spotted-lanternfly-threatens-north-carolina-vineyards-advice-report-it-then-kill-it/20363149/' target='_blank'>Link to Article</a>","2022-07-06","www.wral.com","A small, invasive insect that was recently identified in North Carolina could be eating away at your next happy hour. The spotted lanternfly can damage dozens of crops, including wine grapes and hops used to brew beer.","Liz McLaughlin",""
"21","Beachgoers beware: Climate change may be increasing fecal ...","<a href='https://www.wral.com/story/beachgoers-beware-climate-change-may-be-increasing-fecal-bacteria-at-north-carolina-beaches/20403789/' target='_blank'>Link to Article</a>","2022-08-04","www.wral.com","Aging storm drains along the east coast are further deteriorating due to rising sea levels and higher high tides that push saltwater into the pipes, corroding them and mixing sewage with stormwater runoff.","Liz McLaughlin",""
"22","Colonial Pipeline spill 30 times bigger than previously thought","<a href='https://www.wral.com/colonial-pipeline-spill-30-times-bigger-than-previously-thought/20389264/' target='_blank'>Link to Article</a>","2022-07-25","www.wral.com","In documents submitted to the North Carolina Department of Environmental Quality last week, Colonial estimates 2 million gallons were spilled. The spi","Liz McLaughlin",""
"23","Back-to-school shopping: How to save money while going green","<a href='https://www.wral.com/back-to-school-shopping-how-to-save-money-while-going-green/20421779/' target='_blank'>Link to Article</a>","2022-08-17","www.wral.com","Parents share tools and tricks to save money while saving the environment when getting ready to send kids back to school this fall.","Liz McLaughlin",""
"24","Hidden fossil fuel concessions in sweeping climate bill","<a href='https://www.wral.com/story/hidden-fossil-fuel-concessions-in-sweeping-climate-bill/20415308/' target='_blank'>Link to Article</a>","2022-08-12","www.wral.com","Congress passed its Inflation Reduction Act, touted as a historic victory in the fight against climate change, but there are also benefits for the fossil fuel industry.","Liz McLaughlin",""
"25","The secret second life of Dorothea Dix sunflowers","<a href='https://www.wral.com/the-secret-second-life-of-dorothea-dix-sunflowers/20376579/' target='_blank'>Link to Article</a>","2022-07-15","www.wral.com","After thousands of visitors take selfies and walks at the sunflower field in Dorothea Dix park, Raleigh Water harvests the seeds to make biodiesel to power equipment.","Liz McLaughlin",""
"26","Wrightsville Beach renourishment project uncovers hundreds of ...","<a href='https://www.wral.com/story/wrightsville-beach-renourishment-project-uncovers-hundreds-of-thousands-of-tires-in-the-ocean/20400638/' target='_blank'>Link to Article</a>","2022-08-02","www.wral.com","After officials tasked with filling in Wrightsville's eroding beach were pushed offshore to source sand, they made a daunting discovery: Hundreds of thousands of tires that likely migrated from an artificial reef created by the Division of Marine Fisheries decades ago.","Liz McLaughlin",""
"27","PFAS: 'Forever chemicals' part of widespread environmental crisis","<a href='https://www.wral.com/pfas-forever-chemicals-part-of-widespread-environmental-crisis/20525423/' target='_blank'>Link to Article</a>","2022-10-17","www.wral.com","Toxic so-called ""forever chemicals"" are found in everything from food packaging to rain gear to waterproof makeup... and in the blood of almost every American. In addition to consumer products, pollution from chemical companies such as Chemours has tainted North Carolina drinking water with PFAS. The chemicals are now circulating through our ecosystem from the rainwater to the food supply and they can remain in the environment for centuries.","Liz McLaughlin",""
"30","Yellen's visit to Durham Tuesday will include a tour of a renewable ...","<a href='https://www.wral.com/yellen-s-visit-to-durham-tuesday-will-include-a-tour-of-a-renewable-energy-facility/20492870/' target='_blank'>Link to Article</a>","2022-09-26","www.wral.com","Treasury Secretary Janet Yellen plans to visit Durham and Chapel Hill on Tuesday. The trip includes a visit to a renewable energy facility, according to an itinerary from the Treasury Department first shared on WRAL News.","Liz McLaughlin",""
"31","Rebuild or retreat? Hurricane Ian aftermath raises questions about ...","<a href='https://www.wral.com/story/rebuild-or-retreat-hurricane-ian-aftermath-raises-questions-about-coastal-development/20543774/' target='_blank'>Link to Article</a>","2022-10-28","www.wral.com","As rebuilding continues in the path of Hurricane Ian's destruction, tough questions come up about the vulnerability of coastal development.","Liz McLaughlin",""
"32","NC State gets $6.5 million to innovate fertilizer production and ...","<a href='https://www.wral.com/nc-state-gets-6-5-million-to-innovate-fertilizer-production-and-address-global-climate-change/20548384/' target='_blank'>Link to Article</a>","2022-10-31","www.wral.com","NC State is aiming to innovate the energy-intensive production of fertilizer to make the process more sustainable and help reduce carbon dioxide emissions.","Liz McLaughlin",""
"33","Scientists developing heatwave-resistant plants","<a href='https://www.wral.com/scientists-developing-heatwave-resistant-plants/20361587/' target='_blank'>Link to Article</a>","2022-07-05","www.wral.com","Heatwaves can decimate crops, impacting supplies of human food, livestock feed and biofuel.","Liz McLaughlin",""
"34","Explaining the impact of king tides along the Carolina coast","<a href='https://www.wral.com/explaining-the-impact-of-king-tides-along-the-carolina-coast/20375076/' target='_blank'>Link to Article</a>","2022-07-14","www.wral.com","The last king tide of 2022 is set to end Friday.","Liz McLaughlin",""
"35","Janet Yellen visits the Triangle to tout clean energy economy","<a href='https://www.wral.com/janet-yellen-visits-the-triangle-to-tout-clean-energy-economy/20495315/' target='_blank'>Link to Article</a>","2022-09-28","www.wral.com","U.S. Treasury Secretary Janet Yellen visited the triangle Tuesday to talk about the economic benefits of federal clean energy investments and tour renewable sites in Durham and Chapel Hill.","Liz McLaughlin",""
"36","Invasive lanternflies threaten North Carolina vineyards","<a href='https://www.wral.com/invasive-lanternflies-threaten-north-carolina-vineyards/20363108/' target='_blank'>Link to Article</a>","2022-07-06","www.wral.com","A small bug could create big problems for North Carolina's beer and wine industry.","Liz McLaughlin",""
"37","Climate change bill could boost NC economy","<a href='https://www.wral.com/climate-change-bill-could-boost-nc-economy/20394253/' target='_blank'>Link to Article</a>","2022-07-28","www.wral.com","President Biden President promised consumers lower energy bills and tax breaks for going green.","Liz McLaughlin",""
"38","Neighbors afraid, looking for change after shooting rocks ...","<a href='https://www.wral.com/neighbors-afraid-looking-for-change-after-shooting-rocks-hedingham-community/20523216/' target='_blank'>Link to Article</a>","2022-10-15","www.wral.com","Police have not confirmed the model of the weapon that the teen was carrying, or how it was obtained.","Liz McLaughlin",""
"39","Rescue, recovery efforts still underway in hardest hit communities","<a href='https://www.wral.com/rescue-recovery-efforts-still-underway-in-hardest-hit-communities/20507251/' target='_blank'>Link to Article</a>","2022-10-04","www.wral.com","From here at home to the hardest hit parts of Florida, thousands of people are coming together, working through the damage left by the storm.","Liz McLaughlin",""
"40","The scary spread of “ghost forests” across the east coast","<a href='https://www.wral.com/the-scary-spread-of-ghost-forests-across-the-east-coast/20536790/' target='_blank'>Link to Article</a>","2022-10-24","www.wral.com","Miles of dead, gray trees stretch across the east coast and throughout North Carolina's coastal communities due to saltwater creeping inland. Scientists say the speed and size of dying forest wetlands is an alarming product of climate change and rising sea levels.","Liz McLaughlin",""
"41","A look at PFAs, 'forever chemicals' and how they're impacting human ...","<a href='https://www.wral.com/a-look-at-pfas-forever-chemicals-and-how-theyre-impacting-human-health/20525857/' target='_blank'>Link to Article</a>","2022-10-17","www.wral.com","The class of chemical compounds that allow eggs to easily glide off non-stick cookware, waterproof mascara to say put, and food takeout containers to repel grease are called PFAS, an acronym for per and poly-fluoroalkyl substances","Liz McLaughlin",""
"42","Duke Energy leaking pollutant at excessive rate","<a href='https://www.wral.com/duke-energy-leaking-pollutant-at-excessive-rate/20487813/' target='_blank'>Link to Article</a>","2022-09-22","www.wral.com","Duke Energy is one of the biggest electric power corporations in the nation. The company said old equipment is to blame for excessive emissions of a destructive greenhouse gas that it's leaking at five times the rate of other utilities.","Liz McLaughlin",""
"43","Sunny day flooding: NC coastal communities threatened by rising tides","<a href='https://www.wral.com/story/sunny-day-flooding-nc-coastal-communities-threatened-by-rising-tides/20538432/' target='_blank'>Link to Article</a>","2022-10-25","www.wral.com","We usually associate flooding with rain and hurricanes, but more and more often, coastal communities are facing what's called ""sunny day flooding.""","Liz McLaughlin",""
"44","EPA proposes to designate 'forever chemicals' as hazardous ...","<a href='https://www.wral.com/epa-proposes-to-designate-forever-chemicals-as-hazardous-substances/20433906/' target='_blank'>Link to Article</a>","2022-08-26","www.wral.com","The Environmental Protection Agency moved Friday to designate two ""forever chemicals"" used in cookware, carpets and firefighting foams as hazardous substances.","Liz McLaughlin",""
"45","NC flounder season opens with catch limits","<a href='https://www.wral.com/nc-flounder-season-opens-with-catch-limits/20443647/' target='_blank'>Link to Article</a>","2022-09-01","www.wral.com","Overfishing has caused a decline in the flounder population, prompting state regulators to impose limits on recreational fishing.","Liz McLaughlin",""
"46","A look at NC gun laws in aftermath of deadly shooting","<a href='https://www.wral.com/a-look-at-nc-gun-laws-in-aftermath-of-deadly-shooting/20523232/' target='_blank'>Link to Article</a>","2022-10-15","www.wral.com","Police have not confirmed the model of the weapon that the teen was carrying, or how it was obtained.","Liz McLaughlin",""
