"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Pawpaw: Georgia's obscure but beloved native fruit","<a href='https://www.savannahnow.com/story/news/local/2022/10/08/pawpaw-tree-georgia-obscure-beloved-native-fruit/8187340001/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Pawpaws are one of Georgia's most distinct native fruits, but few people have ever heard of them. This season, locals indulged in the native gem.","Marisa Mecke",""
"2","Savannah weather: Heat islands boost temperatures under summer ...","<a href='https://www.savannahnow.com/story/news/environment/2022/08/04/savannah-weather-heat-islands-boost-temperatures-under-summer-sun/10200225002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","While Savannah is known for its tree-covered walkways, unshaded areas of the city are disproportionately hotter than the rest of the city.","Marisa Mecke",""
"4","Hurricane Ian to bring expected wave of flooding to Savannah ...","<a href='https://www.savannahnow.com/story/news/2022/09/29/hurricane-ian-impact-savannah-ga-flooding-preparation/10439077002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","With Tropical Storm Ian approaching, waterfront, marsh-front and coastal residents are battening down the hatches for flooding coming in on a high tide.","Marisa Mecke",""
"5","Georgia breaks record for sea turtle nests this season","<a href='https://www.savannahnow.com/story/news/environment/2022/08/27/georgia-breaks-record-sea-turtle-nesting-season/10287699002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Georgia passed its record for the most sea turtle nests laid on coastal shores this year, nearing 4,000 nests as the season closes.","Marisa Mecke",""
"6","North Atlantic right whale acoustic buoy launched near Georgia Ports","<a href='https://www.savannahnow.com/story/news/local/2022/08/18/north-atlantic-right-whale-acoustic-buoy-launched-near-georgia-ports/10353292002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","To protect the dwindling North Atlantic right whale population, a global logistics company partners to bring acoustic monitoring to Savannah's waters.","Marisa Mecke",""
"7","Fish kill north of Thurmond Lake traced back to Washington farm","<a href='https://www.savannahnow.com/story/news/2022/07/08/fish-kill-clarks-hill-thurmond-lake-traced-back-dairy-farm/7824570001/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Nearly 1,700 fish were found dead in Little River due to what the Georgia EPD said was a leak of soil additives from a Wilkes County farm.","Marisa Mecke",""
"8","Grapple over proposed soil amendment changes in Georgia continues","<a href='https://www.savannahnow.com/story/news/environment/2022/08/19/grapple-over-proposed-soil-amendment-changes-georgia-continues/10287738002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","On the heels of a fish kill in a Georgia waterway, changes are coming to the Department of Agriculture's policies about soil amendment.","Marisa Mecke",""
"9","Georgia DOT submits electric vehicle infrastructure plan to get ...","<a href='https://www.savannahnow.com/story/news/2022/08/04/georgia-dept-transportation-submits-electric-vehicle-infrastructure-deployment-plan/10226866002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","In a bid to expand Georgia's EV charging network, the Georgia DOT submitted its EV Infrastructure Deployment Plan to secure federal funding.","Marisa Mecke",""
"10","How the Inflation Reduction Act's climate change provisions may ...","<a href='https://www.savannahnow.com/story/news/climate-change/2022/09/01/inflation-reduction-act-impact-climate-change-georgia/10356472002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","The Inflation Reduction Act is being heralded as the biggest climate change legislation ever passed. Here's how it might impact Georgia.","Marisa Mecke",""
"11","Savannah GA weather: Heat index to top 100 degrees rest of the week","<a href='https://www.savannahnow.com/story/news/local/2022/07/19/savannah-georgia-heat-index-top-100-degrees-rest-week/10095888002/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","After a cool spell due to some rain, the dog days of summer are returning to Savannah with heat indices topping 100 for several days straight.","Marisa Mecke",""
