"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Can Atlanta catch a climate funding windfall?","<a href='https://www.ajc.com/news/atlantas-new-sustainability-chief-enters-job-amid-challenges-and-opportunities/77MSNH5JGNBJZBYMJKAJ5XQEPM/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Chandra Farley, an energy consultant with deep roots in advocacy, is Atlanta Mayor Andre Dickens' choice to be the city's sustainability chief. Farley, who started Thursday, is the office’s first permanent director in almost a year.","Meris Lutz",""
"2","Summer nights in the South are getting hotter, quicker, increasing ...","<a href='https://www.ajc.com/news/summer-nights-in-the-south-are-getting-hotter-quicker/YMGW7ZNL7JCBHDCWUWR6QVKKLE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","In July 2022, Atlanta’s average minimum temperature, or overnight low, was a torrid 73.5 degrees, a full 4.6 degrees warmer than the 20th century average. Nighttime temperatures have risen faster than daytime temperatures across the Southeast during the region’s warmest decade on record.","Meris Lutz",""
"3","Atlanta Creek League raises awareness of river tributaries","<a href='https://www.ajc.com/news/atlanta-creek-league-hopes-friendly-competition-can-revive-waterways/47I56HYAHFDDVPX2DSTIAFD5YI/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The recently-launched Atlanta Creek League invites people to join their local creek “team,” each belonging to one of the three river “divisions.” Teams compete for points by completing individual or group activities ranging from “take a nap by your creek” to reporting illegal dumping.","Meris Lutz",""
"4","Georgia PSC commissioner sued over social media blocks","<a href='https://www.ajc.com/news/georgia-psc-commissioner-sued-over-social-media-blocks/QTIAOMGR5BFXBG2VN52RORERPU/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A candidate who sought to unseat Georgia Public Service Commission Vice Chairman Tim Echols has filed a federal lawsuit alleging Echols blocked her and others from his social media accounts over criticism of his performance.","Meris Lutz",""
"5","Atlanta air quality improved, but still gets an F in annual survey","<a href='https://www.ajc.com/news/atlanta-air-quality-improved-but-still-gets-an-f-in-annual-survey/7TKUR4KIKZHOJEJC4LTH2XIU6M/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Metro Atlanta’s air quality has improved significantly over the past two decades, but the area still received a failing grade this year from the American Lung Association for harmful smog.","Meris Lutz",""
"6","As heat waves grow more frequent, researchers hunt for Atlanta's ...","<a href='https://www.ajc.com/news/as-heat-risk-grows-researchers-hunt-for-atlantas-hotspots/O6QQJPGV4JDJ5LKE37FZHMSLZM/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Climate scientists say extreme heat events, like the one Atlanta experienced this week, bear the fingerprints of human-caused climate change. And as the city warms, a new initiative is aiming to capture a fuller picture of the heat risk faced in different neighborhoods.","Meris Lutz",""
"7","Profits, EV charging dominate latest round of Georgia Power hearings","<a href='https://www.ajc.com/news/profits-ev-charging-dominate-latest-round-of-georgia-power-hearings/RIBEF4CFCZAW7KD5TBB4M2GAMQ/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power and Public Service Commission members and staff clashed over how much profit the state’s largest utility will be able to make in the years ahead as state regulators resumed hearings Tuesday on proposed rate hikes that could affect 2.7 million Georgia Power customers.","Meris Lutz",""
"8","Residents to get hearing in discrimination claim against Georgia EPD","<a href='https://www.ajc.com/news/residents-to-get-hearing-in-discrimination-claim-against-georgia-epd/Y723N4XOCNAUREAHQAFMEJNJM4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Judge Shakara Barnes last week partially denied a state agency's motion to dismiss acomplaint over its decision to allow Spectrum Energy Georgia to build a new pellet processing facility in Adel.","Meris Lutz",""
"9","Georgia coastal wetlands need room to move, report says","<a href='https://www.ajc.com/news/georgia-coastal-wetlands-need-room-to-move-report-says/LAPDNU2JWFAX3LSVZQXV7LYHCY/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia’s coastal wetlands are under threat from rising seas, and how the state and local communities respond could spell the difference between a net gain or a net loss of these vital ecosystems, a new study says.","Meris Lutz",""
"10","Facebook parent Meta to double solar capacity in Georgia","<a href='https://www.ajc.com/news/facebook-parent-meta-to-double-solar-capacity-in-georgia/GGJPGVH6EBGJZNGZDEVAJ4K2ZA/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Meta, the parent company of Facebook and Instagram, announced plans Thursday to build seven new solar projects in Georgia and Tennessee.","Meris Lutz",""
"11","Bald eagles set Georgia nesting record, but disease threatens ...","<a href='https://www.ajc.com/news/bald-eagles-set-georgia-nesting-record-but-disease-threatens-progress/BX7N3H2KNJDMXH7D3PXKIRPDQI/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia wildlife officials counted a record number of bald eagle nests in the state this year, despite an outbreak of bird flu among the raptors on the coast that depressed successful hatching there.","Meris Lutz",""
"12","Georgia clean water advocates highlight progress, call for more action","<a href='https://www.ajc.com/news/georgia-clean-water-advocates-highlight-progress-call-for-more-action/VJ5TNRWVQBG3VEJNXWQBVK3NZ4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The Georgia Water Coalition’s annual “Dirty Dozen” report traditionally shines a light on what the group considers to be the worst offenses against Georgia waters. This year, the organization instead highlighted the landmark legal cases that resulted in significant improvements to the state’s waterways while calling attention to ongoing issues.","Meris Lutz",""
"13","New rules could bar public from Ga. regulator's rate hike talks","<a href='https://www.ajc.com/news/new-rules-could-bar-public-from-ga-regulators-rate-hike-talks/R5VWCOKRLJDLNJW4TWB7P3XN5Q/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","New rules could bar public from Ga. Public Service Commission's rate hike talks. Transparency advocates concerned PSC’s directive could violate Georgia's Open Meetings Act.","Meris Lutz",""
"14","Proposed Georgia wood pellet mill at center of environmental fight","<a href='https://www.ajc.com/news/proposed-georgia-wood-pellet-mill-at-center-of-environmental-fight/D5CIVGPWAFFSJMEZXYCF6QB4M4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Activists and a group of South Georgia residents are calling for the U.S. Environmental Protection Agency to adopt stricter oversight of wood pellet mills popping up across the region to feed global demand for biomass energy.","Meris Lutz",""
"15","Metro Atlanta to see more 'dangerous days' of high heat by 2053 ...","<a href='https://www.ajc.com/news/in-metro-atlanta-days-over-100-degrees-to-double-by-2053-report-says/W5REPIFDTFAANBWWMI4WWA4QY4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Longer heat waves and a doubling of dangerously hot days will bake metro Atlanta over the next three decades, according to report .","Meris Lutz",""
"16","Atlanta meets EPA standards for air quality, but just barely","<a href='https://www.ajc.com/news/atlanta-meets-epa-standards-for-air-quality-but-just-barely/RGUXZEKWMBG4HMCQZ3AO6QWW5Y/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Metro Atlanta’s improved smog levels allowed the area to meet federal standards for ozone pollution by the a critical 2021 deadline — but just barely, state and federal data show.","Meris Lutz",""
"17","Mableton school tackles climate education with reflective playground","<a href='https://www.ajc.com/news/mableton-school-tackles-climate-education-with-reflective-playground/3XP75LIVWBASROYCVBMB5Q4MNE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The basketball court and playground of SAE School in Mableton were painted in a reflective coating designed to reduce heat.","Meris Lutz",""
"18","Hot weather puts Georgia outdoor workers at risk","<a href='https://www.ajc.com/news/heat-puts-ga-outdoor-workers-at-risk-as-feds-weigh-safety-standards/KYB6WE5OZJHCDABMCNG3QPGGXU/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","As Georgia's temperatures continue to rise, outdoor workers on farms and construction sites increasingly are exposed to heat-related health risks. But there are currently no requirements for water or shade breaks, among other protective measures.","Meris Lutz",""
