"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"2","Duke Energy rates rising 4.8% on June 1 for Asheville, eastern NC ...","<a href='https://www.wunc.org/2023-05-22/duke-energy-rates-rising-4-8-june-1st-for-asheville-eastern-nc' target='_blank'>Link to Article</a>","2023-05-22","www.wunc.org","Duke Energy will raise rates by 4.8% beginning June 1 for residential customers in Asheville, Raleigh and eastern North Carolina. It's an interim rate hike while regulators decide on a three-year, 18.7% increase.","David Boraks",""
"3","Cooper pushes back on bills to weaken North Carolina's climate ...","<a href='https://www.wunc.org/2023-04-26/cooper-pushes-back-on-bills-to-weaken-north-carolinas-climate-response' target='_blank'>Link to Article</a>","2023-04-26","www.wunc.org","Gov. Roy Cooper urged business leaders at a conference in Raleigh Wednesday to help resist legislative efforts to slow the state's clean energy efforts.","David Boraks",""
"4","Duke Energy execs questioned on rate hike for eastern NC ...","<a href='https://www.wunc.org/2023-05-04/duke-energy-execs-questioned-on-rate-hike-for-eastern-nc-asheville' target='_blank'>Link to Article</a>","2023-05-04","www.wunc.org","Duke Energy executives faced questions from state regulators Thursday on their plan to sharply hike electricity rates in eastern North Carolina and the Asheville area.","David Boraks",""
"5","Risky heat days are increasing in the Carolinas — and that's bad for ...","<a href='https://www.wunc.org/2023-05-12/risky-heat-days-are-increasing-in-the-carolinas' target='_blank'>Link to Article</a>","2023-05-12","www.wunc.org","Tuesday's temperature hit the upper 80s and low 90s across the Carolinas, giving us a preview of things to come this spring and summer. As average global temperatures rise with climate change, so do the number of dangerously high heat days. And with that comes health risks, especially for those with health problems and people who work outdoors or in hot environments.","David Boraks",""
"6","Climate action is mayor's priority in Boise. What could Charlotte ...","<a href='https://www.wunc.org/2023-04-28/climate-action-is-mayors-priority-in-boise-what-could-charlotte-learn' target='_blank'>Link to Article</a>","2023-04-28","www.wunc.org","I was in Boise, Idaho, last week for the annual conference of the Society of Environmental Journalists. I came back with a head crammed full of information, story ideas and insights — like how a city smaller than Charlotte or Raleigh, in a red state, is pushing to meet climate goals.","David Boraks",""
"7","NC regulators delay new rooftop solar rules as a fight continues ...","<a href='https://www.wfae.org/energy-environment/2023-06-02/nc-regulators-delay-new-rooftop-solar-rules-as-a-fight-continues' target='_blank'>Link to Article</a>","2023-06-02","www.wfae.org","North Carolina is getting ready to overhaul how owners of residential rooftop solar panels get paid, including reducing what Duke Energy pays for excess electricity sent to the grid. But it won't happen as soon as expected.","David Boraks",""
"8","Catawba College is one of the first US campuses to go carbon ...","<a href='https://www.wfae.org/energy-environment/2023-04-27/catawba-college-is-one-of-the-first-us-campuses-to-go-carbon-neutral' target='_blank'>Link to Article</a>","2023-04-27","www.wfae.org","Catawba College in Salisbury, North Carolina, says it has cut energy-related emissions on campus and is now carbon neutral, in part by claiming credits for investments in clean energy elsewhere.","David Boraks",""
"9","Another climate threat: an increase in 'fire weather days' | WFAE ...","<a href='https://www.wfae.org/energy-environment/2023-05-25/another-climate-threat-an-increase-in-fire-weather-days' target='_blank'>Link to Article</a>","2023-05-25","www.wfae.org","Climate change doesn't directly cause wildfires, but it does create the conditions that make fires more likely. A new analysis of weather data by Climate Central shows that as the planet warms, the number of fire weather days is growing nationwide, including North Carolina.","David Boraks",""
"10","Italian EV charger company picks Charlotte for US headquarters ...","<a href='https://www.wfae.org/energy-environment/2023-05-23/italian-ev-charger-company-picks-charlotte-for-us-headquarters' target='_blank'>Link to Article</a>","2023-05-23","www.wfae.org","alpitronic, an Italian company that makes ultra-fast electric-vehicle charging stations, says it will locate its U.S. headquarters and service center in Charlotte and create 300 jobs.","David Boraks",""
"11","Gaston County lithium mine may not start production until 2027 ...","<a href='https://www.wfae.org/energy-environment/2023-05-22/gaston-county-lithium-mine-may-not-start-production-until-2027' target='_blank'>Link to Article</a>","2023-05-22","www.wfae.org","Piedmont Lithium, the company that wants to build a lithium mine in northern Gaston County, says the mine won't open until 2027 at the earliest because of permitting and other delays.","David Boraks",""
