"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"2","UPDATED: Record warmth drove Southern Co. profits down. Here's ...","<a href='https://www.ajc.com/news/record-warmth-drove-southern-co-profits-down-heres-why/IUVNYJ5PHJDMVC5Z22DCO2LCZ4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Profits at the utility giant Southern Company fell slightly in the first quarter compared to last year, in part due to the record warmth Georgia and other states in its service territory have experienced so far in 2023.","Drew Kann",""
"3","Gwinnett County honors beloved corrections officer killed last year","<a href='https://www.ajc.com/news/gwinnett-county-honors-beloved-corrections-officer-killed-last-year/RR3YRCC2QJDOJJVYF6TZ3UIJTE/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A beloved Gwinnett County corrections officer who was gunned down in a parking outside of work last year was honored by the county as a “Fallen Hero” on Memorial Day.","Drew Kann",""
"4","A hot, wet summer is likely heading for Georgia, forecast shows","<a href='https://www.ajc.com/news/a-hot-wet-summer-is-likely-heading-for-georgia-forecast-shows/HGUWNGJIGFAO7NB2KX4BMK3LK4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The hotter than normal start to the year most of Georgia has experienced is likely to continue at least through summer, a new federal forecast shows.","Drew Kann",""
"5","Georgia Power rate increase: Regulators approve company's plan to ...","<a href='https://www.ajc.com/news/breaking-regulators-approve-new-georgia-power-rate-hike/5WRJGQ2RYZF6FDNF4VFAHIXLA4/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The average Georgia Power customer will see their monthly bill jump by roughly $16 on June 1 after regulators at the Georgia Public Service Commission (PSC) unanimously approved a plan to raise the company’s rates on Tuesday.","Drew Kann",""
"6","Georgia Power rates will jump next month. Here's what you might pay","<a href='https://www.ajc.com/news/georgia-power-rates-will-jump-next-month-heres-what-you-might-pay/ASBTZGB5MJBPTJV3TFTBDQK5OI/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Georgia Power's latest rate increase request will be the subject of hearings this week at the Georgia Public Service Commission. Here's what you need to know.","Drew Kann",""
"8","Georgia textile maker to stop using 'forever chemicals'","<a href='https://www.ajc.com/news/georgia-textile-maker-to-stop-using-forever-chemicals/IAYJJJWYRFDWBFCB6HWJUPPB4Q/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A Northwest Georgia textile manufacturer has agreed to stop using “forever chemicals” as part of a settlement brokered after the company and the small town that processes its wastewater were sued by an environmental group over releases of the pollutants.","Drew Kann",""
"9","Regulators hear final arguments before key Georgia Power rate vote","<a href='https://www.ajc.com/news/regulators-hear-final-arguments-before-key-georgia-power-rate-vote/P7MI4JUJMVFH3JV4OYXRWSFH3Y/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Environmental and manufacturing interest groups, concerned customers and staff for the state’s utility regulator delivered their final arguments Thursday to the Georgia Public Service Commission (PSC) ahead of a key vote next week on Georgia Power’s request to raise rates to pay for its fuel expenses.","Drew Kann",""
"10","APS places some schools on lockdown after Midtown shooting","<a href='https://www.ajc.com/news/aps-places-some-schools-on-lockdown-after-midtown-shooting/SDVJDP3L3JBARL6UF32OKY6EIM/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","Just before 1:30 p.m. Wednesday, Atlanta Public Schools notified parents and caregivers that several schools in the system would be placed on exterior lockdown for the rest of the day out of an “abundance of caution,” as authorities respond to the active shooter situation in Midtown.","Drew Kann",""
"11","Georgia couple awarded $135M after solar project turns their lake to ...","<a href='https://www.ajc.com/news/couple-awarded-135m-after-solar-project-turns-their-lake-to-mud-hole/BZ6BYXQREJCDROQV6ZASUW5WOI/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","A Southwest Georgia couple was awarded $135 million last week by a federal jury for damages caused by sediment pollution that spilled onto their property from a massive solar electricity project built next door.","Drew Kann",""
"12","First of two new Vogtle reactors reaches 100% power","<a href='https://www.ajc.com/news/first-of-two-new-vogtle-reactors-reaches-100-power/F4Z4FW45ONFFXHAJ5ICD73FKFM/' target='_blank'>Link to Article</a>",NA,"www.ajc.com","The first of two new nuclear reactors at Plant Vogtle near Augusta has reached 100% power for the first time the company announced, a big step which signals the unit could begin sending electricity out to Georgia homes in a matter of days.","Drew Kann",""
