"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Georgia Power request Georgia Public Service Commission rate hike","<a href='https://www.savannahnow.com/story/news/environment/2023/05/10/georgia-power-request-georgia-public-service-commission-rate-hike/70195954007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","The cost of natural gas is up, resulting in Georgia Power requesting a rate hike for customers through the Georgia Public Service Commission.","Emily Jones",""
"2","Mining debate brings personal ties to the Okefenokee Swamp into ...","<a href='https://www.wabe.org/mining-debate-brings-personal-ties-to-the-okefenokee-swamp-into-focus/' target='_blank'>Link to Article</a>",NA,"www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. A bee […]","Emily Jones",""
"4","New federal laws have lots of money for climate projects – if cities ...","<a href='https://www.wabe.org/new-federal-laws-have-lots-of-money-for-climate-projects-if-cities-can-actually-get-it/' target='_blank'>Link to Article</a>","2023-05-19","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Tybee Island […]","Emily Jones",""
"5","How small communities can get the big climate money | Grist","<a href='https://grist.org/equity/theres-big-climate-money-out-there-for-small-towns-but-will-they-get-it/' target='_blank'>Link to Article</a>","2023-05-25","grist.org","The good news: There's a lot of climate money out there. The bad news: it's hard to get. But help is on the way for small communities.","Emily Jones",""
"6","Georgia Power requests another rate increase – WABE","<a href='https://www.wabe.org/georgia-power-requests-another-rate-increase/' target='_blank'>Link to Article</a>","2023-05-04","www.wabe.org","Georgia Power has a rate hike request before the state’s Public Service Commission, which could result in an average increase of $16 to customers’ bills. The increase stems from the […]","Emily Jones",""
"7","Georgia Power bills will go up again in June - The Current","<a href='https://thecurrentga.org/2023/05/16/georgia-power-bills-will-go-up-again-in-june/' target='_blank'>Link to Article</a>","2023-05-16","thecurrentga.org","The Georgia Public Service Commission approved a $16 a month rate hike to reimburse Georgia Power for high natural gas prices.","Emily Jones",""
"8","Georgia Power's parent company touts earnings as customers brace ...","<a href='https://www.wabe.org/georgia-powers-parent-company-touts-earnings-as-customers-brace-for-higher-bills/' target='_blank'>Link to Article</a>","2023-05-25","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. The first […]","Emily Jones",""
"9","Georgia Power bills will go up again in June – WABE","<a href='https://www.wabe.org/georgia-power-bills-will-go-up-again-in-june/' target='_blank'>Link to Article</a>","2023-05-16","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. Georgia Power […]","Emily Jones",""
"10","Carbon-free promise or cautionary tale? Georgia's new reactors ...","<a href='https://www.wabe.org/carbon-free-promise-or-cautionary-tale-georgias-new-reactors-come-online-to-fanfare-criticism/' target='_blank'>Link to Article</a>","2023-06-02","www.wabe.org","This coverage is made possible through a partnership with WABE and Grist, a nonprofit, independent media organization dedicated to telling stories of climate solutions and a just future. The first […]","Emily Jones",""
"11","Georgia Peach Festival kicks off this weekend with 55-square-foot ...","<a href='https://www.gpb.org/news/2023/06/02/georgia-peach-festival-kicks-off-weekend-55-square-foot-peach-cobbler' target='_blank'>Link to Article</a>",NA,"www.gpb.org","Middle Georgia will celebrate the 37th Annual Georgia Peach Festival, starting on Friday in Fort Valley.","Emily Jones",""
"14","Counting Shorebirds in Georgia - The Current","<a href='https://thecurrentga.org/today-from-the-current/counting-shorebirds-in-georgia/' target='_blank'>Link to Article</a>",NA,"thecurrentga.org","- May 24, 2023 - Georgia's red knots Earlier this month Georgia Department of Natural Resources biologist Fletcher Smith invited The Current's Mary","Emily Jones",""
"15","What the Supreme Court's ruling means for the future of wetlands ...","<a href='https://grist.org/politics/what-the-supreme-courts-ruling-means-for-the-future-of-wetlands/' target='_blank'>Link to Article</a>","2023-05-26","grist.org","More than half the nation's wetlands could lose protection under the Clean Water Act.","Emily Jones",""
"16","The North Face's Pride ad with drag queen Pattie Gonia sparks ...","<a href='https://grist.org/politics/north-face-pride-ad-drag-queen-pattie-gonia-homophobic-backlash/' target='_blank'>Link to Article</a>","2023-05-26","grist.org","A call from the environmental influencer to “come out … in nature” sparked backlash from right-wing commenters and politicians.","Emily Jones",""
