,Article.Title,Link,Date.Published,News.Outlet,Preview,Key.Author,All.Authors
1,Interior seeks to lease Wilmington-area offshore wind farm | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article255356141.html' target='_blank'>Link to Article</a>,10/28/21,www.newsobserver.com,"The Wilmington East Wind Area is off the Brunswick County coast and could power more than 500,000 homes when completed.",Adam Wagner,NA
2,"Environmental justice leaders awed by NC pig farms, landfill ...",<a href='https://www.newsobserver.com/news/politics-government/article255330071.html' target='_blank'>Link to Article</a>,11/3/21,www.newsobserver.com,Wednesday marked the 30th anniversary of a summit that ended with the Principles of Environmental Justice. A trio of leaders met in rural NC.,Adam Wagner,NA
3,Regan returns to North Carolina to announce EPA's PFAS plan ...,<a href='https://www.newsobserver.com/news/politics-government/article255037062.html' target='_blank'>Link to Article</a>,10/18/21,www.newsobserver.com,"As DEQ secretary under North Carolina Gov. Roy Cooper, Michael Regan worked to address PFAS contamination of the Cape Fear River. Now, he leads the EPA.",Adam Wagner,NA
4,"House approves energy compromise, sends bill to Gov. Cooper ...",<a href='https://www.newsobserver.com/news/politics-government/article254803787.html' target='_blank'>Link to Article</a>,10/6/21,www.newsobserver.com,Energy justice advocates have questioned whether rate hikes associated with reducing greenhouse gas emissions could harm low-income customers.,Adam Wagner,NA
5,Senate committees approve bill requiring Duke emissions cuts ...,<a href='https://www.newsobserver.com/news/politics-government/article254773732.html' target='_blank'>Link to Article</a>,10/5/21,www.newsobserver.com,House Bill 951 requires Duke Energy to reduce greenhouse gases by 70% by 2030 and reach carbon neutrality by 2050.,Adam Wagner,NA
6,NC bill would prevent governments from banning natural gas ...,<a href='https://www.newsobserver.com/news/politics-government/article255214321.html' target='_blank'>Link to Article</a>,10/27/21,www.newsobserver.com,"If passed, House Bill 220 would prevent North Carolina counties and municipalities from banning natural gas. It would also limit public records.",Adam Wagner,NA
7,"After hurricanes, NC congressmen adapt to climate change ...",<a href='https://www.newsobserver.com/news/politics-government/article254975132.html' target='_blank'>Link to Article</a>,10/14/21,www.newsobserver.com,"US Rep. Greg Murphy, a Greenville Republican, said adapting to climate change in Eastern North Carolina will mean “some emotional decisions.”",Adam Wagner,NA
8,"Businesses oppose NC energy bill, cite potential rate hikes | Raleigh ...",<a href='https://www.newsobserver.com/news/politics-government/article253389003.html' target='_blank'>Link to Article</a>,8/10/21,www.newsobserver.com,"House Bill 951 would require Duke Energy to retire most of its coal plants by 2030 and lead to more coal, but business groups are worried about costs.",Adam Wagner,NA
9,EPA: Chemical GenX toxic at lower levels than other PFAS | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article255269581.html' target='_blank'>Link to Article</a>,10/25/21,www.newsobserver.com,The EPA assessment says GenX is more toxic than the levels DHHS used to set its drinking water health goal in 2017.,Adam Wagner,NA
10,Proposed Pitt County crypto data center cancels plans | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article255373581.html' target='_blank'>Link to Article</a>,11/2/21,www.newsobserver.com,Residents of a nearby neighborhood and parents at a nearby school were worried about noise from computers and loud fans.,Adam Wagner,NA
11,NC drought means higher risk and possibly worse forest fires ...,<a href='https://www.newsobserver.com/news/state/north-carolina/article256282092.html' target='_blank'>Link to Article</a>,12/2/21,www.newsobserver.com,"North Carolina averaged less than an inch of precipitation in November, according to the State Climate Office. Drier conditions could let fires like the one at Pilot Mountain worsen.",Adam Wagner,NA
12,Duke Energy strikes fee agreement with NC solar industry | Raleigh ...,<a href='https://www.newsobserver.com/news/business/article256221662.html' target='_blank'>Link to Article</a>,12/3/21,www.newsobserver.com,The agreement between the utility and solar advocates also creates a new incentive for rooftop solar installation effective in 2023.,Adam Wagner,NA
13,Greensboro agrees to reduce contamination of Haw River | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article256061522.html' target='_blank'>Link to Article</a>,11/24/21,www.newsobserver.com,"A Greensboro wastewater plant has sent 1,4-dioxane down the Haw River into Pittsboro’s drinking water and then into the Cape Fear River.",Adam Wagner,NA
14,Environmentalists challenge Robeson County LNG pipeline ...,<a href='https://www.newsobserver.com/news/politics-government/article256454901.html' target='_blank'>Link to Article</a>,12/11/21,www.newsobserver.com,"Friends of the Earth and the Winyah Rivers Association say the Piedmont Natural Gas pipelines harmed artifacts, will worsen flooding.",Adam Wagner,NA
15,Can NC Highway 12 withstand climate change in Outer Banks ...,<a href='https://www.newsobserver.com/news/state/north-carolina/article252949138.html' target='_blank'>Link to Article</a>,7/31/21,www.newsobserver.com,"The highway runs the length of the Outer Banks, supporting the economy, welcoming tourists and often providing a lifeline for residents. But as sands shift and the sea rises, can N.C. 12 survive?",Adam Wagner,NA
16,"How wall of oyster shells could save NC wetlands, marine life ...",<a href='https://www.newsobserver.com/news/weather-news/article254819557.html' target='_blank'>Link to Article</a>,10/24/21,www.newsobserver.com,"Bulkheads have long been a go-to along North Carolina’s waterfront, but scientists and advocates agree that they threaten valuable wetlands offshore.  The solution has hurdles to clear but could help protect ecosystems for years to come.",Adam Wagner,NA
17,"NC to test, treat lead in schools' water fountains and taps | Raleigh ...",<a href='https://www.newsobserver.com/news/politics-government/article256385097.html' target='_blank'>Link to Article</a>,12/10/21,www.newsobserver.com,The state budget includes funding to test for and address lead in drinking water at schools across North Carolina.,Adam Wagner,NA
18,NC civil rights groups ask EPA to block biogas permits | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article254582542.html' target='_blank'>Link to Article</a>,9/29/21,www.newsobserver.com,Complaint alleges that DEQ’s environmental justice review for water quality permits was a “paper exercise.” Smithfield officials say it cuts down on greenhouse gases.,Adam Wagner,NA
19,Cooper moves to advance NC offshore wind energy with target ...,<a href='https://www.newsobserver.com/news/politics-government/article251986733.html' target='_blank'>Link to Article</a>,6/9/21,www.newsobserver.com,The federal government has leased a wind site off North Carolina’s coast and is showing interest in leasing a pair of Southeastern NC sites.,Adam Wagner,NA
20,"Unspent Florence relief funds going to homes, infrastructure ...",<a href='https://www.newsobserver.com/news/politics-government/article254622737.html' target='_blank'>Link to Article</a>,9/30/21,www.newsobserver.com,The NC General Assembly gave state agencies $942.4 million to help recover from the storm. About $159.7 million remains unspent.,Adam Wagner,NA
21,"Global warming could kill marine ecosystems in NC, SC, GA, FL ...",<a href='https://www.newsobserver.com/news/weather-news/article254819227.html' target='_blank'>Link to Article</a>,NA,www.newsobserver.com,"“These vast expanses of marshes we are accustomed to in the Southeast are going to disappear.”

Islands have sunk and wetlands are disappearing in Mississippi and Louisiana. Scientists worry that climate change, sea level rise and humans themselves are putting South Atlantic tidelands in danger from the North Carolina’s Outer Banks to the northern edge of Florida. 

This is Rising Tides, Sinking Future.",Adam Wagner,NA
22,NC Senate denies appointment of Cooper pick for DEQ secretary ...,<a href='https://www.newsobserver.com/news/politics-government/article251867418.html' target='_blank'>Link to Article</a>,6/3/21,www.newsobserver.com,The vote is the first time the Republican-led Senate has denied one of Gov. Cooper’s Cabinet secretaries since the approval process began.,Adam Wagner,NA
23,NC House energy bill's impact on customers remains unclear ...,<a href='https://www.newsobserver.com/news/politics-government/article252181288.html' target='_blank'>Link to Article</a>,6/18/21,www.newsobserver.com,"The bill would curb carbon emissions from Duke Energy, but does not reach North Carolina’s goal of a 70% reduction by 2030.",Adam Wagner,NA
24,Duke scientists to research wind farm wildlife protections | Raleigh ...,<a href='https://www.newsobserver.com/news/politics-government/article255001052.html' target='_blank'>Link to Article</a>,10/16/21,www.newsobserver.com,Federal and state governments have set ambitious wind energy goals. New research will try to limit turbines’ impact on wildlife.,Adam Wagner,NA
25,NC salt marshes hold carbon dioxide. What happens if they die?,<a href='https://www.gastongazette.com/story/news/2021/12/23/north-carolina-salt-marsh-carbon-dioxide-sea-levels-climate-change/6465441001/' target='_blank'>Link to Article</a>,NA,www.gastongazette.com,"As sea levels rise, salt marshes are likely to drown or be washed away. They will shift from being a tool in the fight against global warming",Adam Wagner,NA
