"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"2","Could electric-powered ferries be coming to the North Carolina coast?","<a href='https://www.starnewsonline.com/story/news/local/2023/04/24/could-electric-powered-ferries-be-coming-to-the-north-carolina-coast/70101088007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","The NCDOT is studying whether electric-powered vessels would make sense on some of the state's shorter ferry routes, including Fort Fisher-Southport","Gareth McGrath",""
"3","Proposed bill could stymy North Carolina's offshore wind development","<a href='https://www.starnewsonline.com/story/news/local/2023/05/02/concerns-over-offshore-wind-farms-resurface-in-proposed-nc-bill/70126598007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","The bill would place a 10-year freeze on the state issuing permits for any offshore wind project to allow a review of environmental, economic concerns","Gareth McGrath",""
"4","Facing the challenge of rising seas along the NC coast","<a href='https://www.starnewsonline.com/story/news/local/2023/05/09/facing-the-challenge-of-rising-seas-along-the-nc-coast/70150130007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Living along the coast is getting more expensive and arguably risky, but that isn't stopping more and more people from wanting their oceanfront view","Gareth McGrath",""
"5","Sea turtle nesting season starts amid challenges on and off the beach","<a href='https://www.starnewsonline.com/story/news/local/2023/05/11/sea-turtle-nesting-season-starts-amid-challenges-on-and-off-the-beach/70182883007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","They swam with the dinosaurs, but sea turtles today face a challenging future even as conservation efforts show positive results","Gareth McGrath",""
"6","Bill would redefine nuclear power as a clean energy source in NC","<a href='https://www.starnewsonline.com/story/news/local/2023/05/16/bill-would-redefine-nuclear-power-as-a-clean-energy-source-in-nc/70182926007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","As North Carolina looks to embrace a clean energy future, legislation in Raleigh would see nuclear power considered as ""green"" as wind and solar","Gareth McGrath",""
"7","The challenge of managing Eastern NC's forests amid population ...","<a href='https://www.starnewsonline.com/story/news/local/2023/05/04/why-eastern-ncs-forests-need-to-burn-despite-residents-worries/70150145007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Fire, although a natural element in the Cape Fear region, is rarely welcomed by residents. The challenges of managing smoke, ash and the environment","Gareth McGrath",""
"8","Studies show sea-level rise is accelerating off North Carolina","<a href='https://www.starnewsonline.com/story/news/local/2023/04/25/studies-show-sea-level-rise-is-accelerating-off-north-carolina/70101145007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Rising seas off the N.C. coast are nothing new. But new research is showing the rate of increase has accelerated dramatically in recent years","Gareth McGrath",""
"10","Could NC join other places in banning gas powered leaf blowers?","<a href='https://www.starnewsonline.com/story/news/local/2023/05/18/could-nc-join-other-places-in-banning-gas-powered-leaf-blowers/70199708007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","The use of leaf blowers has often been restricted over noise. But now there's a growing movement to ban them because of how much they pollute the air","Gareth McGrath",""
"11","Draft boat speed rule to protect endangered whales draws NC criticism","<a href='https://www.starnewsonline.com/story/news/local/2023/05/20/draft-boat-speed-rule-to-protect-endangered-whales-draws-nc-criticism/70199713007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","A fight is brewing between regulators worried about losing the North Atlantic right whale and boat captains worried about losing their livelihood","Gareth McGrath",""
"12","As hurricane season starts, can storms help coastal NC habitats?","<a href='https://www.starnewsonline.com/story/news/local/2023/05/31/as-hurricane-season-starts-can-storms-help-coastal-nc-habitats/70182899007/' target='_blank'>Link to Article</a>",NA,"www.starnewsonline.com","Although early forecasts call for a calmer 2023 hurricane season than recent years, officials warn coastal residents to prepare for the worst","Gareth McGrath",""
