"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"2","High Point University poll: NC is mixed on climate change","<a href='https://greensboro.com/community/rockingham_now/news/nc-has-mixed-views-on-climate-change-study-finds/article_392e214c-e853-11ed-a4c4-c333618f9c99.html' target='_blank'>Link to Article</a>",NA,"greensboro.com","Less than half of North Carolinians consider climate change an issue deserving urgent action while six out of 10 believe human activity such as the burning of fossil fuels is at least partially to blame for global warming, according to a newly released poll.","John Deem",""
"4","'Rights' of the river: NC bill seeks unique protection for Haw","<a href='https://journalnow.com/news/rights-of-the-river-nc-bill-seeks-unique-protection-for-haw/article_15cec9b6-e5f3-11ed-893b-eb00001cd972.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","As a Native American activist, Crystal Cavalier-Keck has journeyed thousands of miles to help protect the lives and lands of Indigenous communities.","John Deem",""
"5","Reynolds American to recycle 60 million gallons per year","<a href='https://journalnow.com/news/reynolds-tobaccoville-facility-to-recycle-60-million-gallons-of-water-annually/article_216055a8-fc0d-11ed-a5ca-f34eb550c73a.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","Reynolds American Inc. plans a reclamation plant at its Tobaccoville manufacturing facility that is expected to recycle more than 60 million gallons of water a year.","John Deem",""
"6","Winston-Salem neighbors want in on Smith Reynolds deal","<a href='https://journalnow.com/news/neighbors-want-in-on-smith-reynolds-airport-tax-break-deal/article_283b320a-e2e8-11ed-aad6-379d8f250357.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","With anger still lingering like jet exhaust over proposed legislation that would have removed Smith Reynolds Airport from Winston-Salem, some neighboring residents suggest they should be eligible for the same","John Deem",""
"7","Climate change leads to warmest start of any year in NC","<a href='https://journalnow.com/news/more-pollen-than-snow-2023-is-ncs-warmest-year-ever-so-far/article_74f10a7c-f0e7-11ed-beda-7fdf9c7ce46f.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","North Carolina and a half-dozen other states in the eastern U.S. experienced their warmest-ever start to a year in 2023, according to a new report from the National Oceanic and Atmospheric Administration.","John Deem",""
"8","Forsyth County under severe thunderstorm warning","<a href='https://journalnow.com/news/forsyth-county-under-severe-thunderstorm-warning/article_219ba0fe-e60a-11ed-81a8-732677931f9e.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","The National Weather Service has issued a severe thunderstorm warning for Forsyth County until 6:15 p.m.","John Deem",""
"9","Durham governments tap Duke program to 'offset' emissions","<a href='https://journalnow.com/news/local/durham-city-county-schools-take-indirect-route-to-offset-emissions/article_b8fd87c6-e47c-11ed-9b19-4f887a796ce1.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","What goes around comes around.","John Deem",""
"10","69-acre Thomasville Solar farm planned in Davidson County","<a href='https://journalnow.com/spanish-firm-plans-69-acre-solar-farm-in-davidson-county/article_f6aee68c-fc0a-11ed-b175-af8ae2da803c.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","A Spanish renewable energy company is looking to expand its North Carolina footprint with a 69-acre solar farm near Thomasville.","John Deem",""
"13","Water service disrupted in downtown Winston-Salem","<a href='https://journalnow.com/news/local/water-service-disrupted-in-downtown-winston-salem-after-contractor-damages-water-main/article_3bf21650-fb26-11ed-a212-a7b9637775dc.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","A section of downtown Winston-Salem was without water for several hours Thursday when a contractor damaged a water main in the 600 block of Fourth Street, causing some businesses to","John Deem",""
"14","Fish and Wildlife Foundation supports NC cover crop farmers","<a href='https://journalnow.com/news/funds-to-support-nc-farmers-in-climate-smart-planting-on-25-000-acres/article_8c8a71e2-fb3b-11ed-ac92-f3b52e049b6c.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","North Carolina farmers will have access to nearly $825,000 in funding for planting crops aimed at improving soil health and protecting 25,000 acres of soybean and corn fields from erosion","John Deem",""
"15","Federal grant backs pipeline for Nucor plant in Lexington","<a href='https://journalnow.com/business/article_8a930a9c-0186-11ee-ba29-5b81789c0677.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","A $1.3 million federal grant will cover half the city of Lexington’s expected cost for a nearly 4-mile pipeline extension that will supply a new Nucor Steel facility with nearly","John Deem",""
"16","Hail, high winds, tornadoes possible in Triad Tuesday","<a href='https://journalnow.com/news/triad-under-severe-thunderstorm-watch-until-10-p-m/article_8f91b1cc-f3fa-11ed-8c33-db8abdd60537.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","The National Weather Service has issued a severe thunderstorm watch for Triad until 10 p.m.","John Deem",""
"17","Electric vehicle use climbs in NC, Forsyth, Guilford","<a href='https://journalnow.com/news/local/nc-ev-registrations-approach-61-500/article_badf74ba-f8d5-11ed-a23e-a31fc18476b6.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","Registrations for electric vehicles in North Carolina climbed 14% in the first quarter of 2023, reaching nearly 61,500, state figures show.","John Deem",""
"18","Plume from wildfires brings unhealthy air quality in Triad","<a href='https://journalnow.com/news/smoke-plume-from-canada-leads-to-unhealthy-air-quality-in-triad/article_2bd13282-018f-11ee-8b62-afb247301243.html' target='_blank'>Link to Article</a>",NA,"journalnow.com","Unhealthy air quality in the Triad Friday is expected to continue into Saturday, according to the Forsyth County Office of Environmental Assistance and Protection. A plume of smoke from wildfires","John Deem",""
