"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","State poll: Voters across party lines support energy competition and ...","<a href='https://www.wral.com/story/state-poll-voters-across-party-lines-support-energy-competition-and-choice/20880332/' target='_blank'>Link to Article</a>","2023-05-25","www.wral.com","A new statewide poll by the non-profit Conservatives for Clean Energy finds the majority of Republicans, Democrats, and unaffiliated voters across the state support more competition and consumer choice in their energy providers.","Liz McLaughlin",""
"2","NC farmer attacked by bull says he's ""deeply moved"" by community ...","<a href='https://www.wral.com/story/nc-farmer-known-for-quips-left-speechless-at-community-s-love-after-vicious-bull-attack/20865918/' target='_blank'>Link to Article</a>","2023-05-17","www.wral.com","A dairy farmer viciously mauled by a bull says he is blown away by the outpouring of support from the community as he recovers at UNC Hospital. A GoFundMe page has raised more than $165,000, hundreds have signed up for volunteer shifts on the farm, and thousands have shared support online, including musician Willie Nelson.","Liz McLaughlin",""
"3","Protesters gather outside of Enviva HQ to push back against pollution","<a href='https://www.wral.com/story/protesters-gather-outside-of-enviva-hq-to-push-back-against-pollution/20866896/' target='_blank'>Link to Article</a>","2023-05-17","www.wral.com","Protesters gathered in front of Enviva headquarters in Raleigh to push back against the world's largest wood pellet production company for controversial renewable energy generation and pollution from plants in four North Carolina counties.","Liz McLaughlin",""
"5","NC bill aims to remove barriers to nuclear energy","<a href='https://www.wral.com/story/nc-bill-aims-to-remove-barriers-to-nuclear-energy/20828091/' target='_blank'>Link to Article</a>","2023-04-25","www.wral.com","A North Carolina bill updating language in statutes from ""renewable energy"" to ""clean energy"" passed a key committee Tuesday, paving the way for nuclear and fusion development in the state.","Liz McLaughlin",""
"6","Climate change is moving hurricane risks farther inland","<a href='https://www.wral.com/story/How-much-is-my-hurricane-flood-risk-Raleigh-NC/20878378/' target='_blank'>Link to Article</a>","2023-05-24","www.wral.com","As hurricane season approaches, researchers warn the risk of flooding and severe weather are moving farther inland.","Liz McLaughlin",""
"7","Plant'd, a climate tech company, is developing a manufacturing ...","<a href='https://www.wral.com/20892196/?version=vjsconfig' target='_blank'>Link to Article</a>","2023-06-02","www.wral.com","Plant'd, a climate tech company, is developing a manufacturing facility in Oxford to create plywood-like panels made from perennial grasses grown by local farmers. The company's co-founders say the carbon-negative materials could have a big impact on the high-emission construction industry.","Liz McLaughlin",""
"8","Durham company creates unit that can destroy PFAS, other ...","<a href='https://www.wral.com/story/durham-company-creates-unit-that-can-destroy-pfas-other-contaminants-from-water/20886770/' target='_blank'>Link to Article</a>","2023-05-30","www.wral.com","Utilizing a method that was pioneered a decade ago at Duke University, Durham-based company 374Water has created the first commercial unit to destroy PFAS and other contaminants in wastewater, such as microplastics, bacteria and viruses.","Liz McLaughlin",""
"9","Real meat, without the animal: Lab-grown meat makes its way to NC","<a href='https://www.wral.com/story/real-meat-without-the-animal-lab-grown-meat-makes-its-way-to-nc/20854019/' target='_blank'>Link to Article</a>","2023-05-10","www.wral.com","Cultivated or cultured meat uses cells to grow beef, chicken and lamb without the resources needed to farm and slaughter animals. In 2024, Believer Meats is opening the first large-scale cultivated meat facility in Wilson.","Liz McLaughlin",""
"10","Beloved NC farmer touched by community's love shown during ...","<a href='https://www.wral.com/beloved-nc-farmer-touched-by-communitys-love-shown-during-hospital-stay/20866343/' target='_blank'>Link to Article</a>","2023-05-17","www.wral.com","Randy Lewis was attacked by a bull on his farm in Alamance County. Friends have compiled a GoFundMe that has amassed more than $165,000 in donations.","Liz McLaughlin",""
"11","Lab-grown meat coming to NC","<a href='https://www.wral.com/lab-grown-meat-coming-to-nc/20854021/' target='_blank'>Link to Article</a>","2023-05-10","www.wral.com","Cultivated or cultured meat uses cells to grow beef, chicken and lamb without the resources needed to farm and slaughter animals. In 2024, Believer Meats is opening the first large-scale cultivated meat facility in Wilson.","Liz McLaughlin",""
"16","How the proposed EPA carbon regulation could impact your energy ...","<a href='https://www.wral.com/story/how-the-proposed-epa-carbon-regulation-could-impact-your-energy-bill/20855811/' target='_blank'>Link to Article</a>","2023-05-11","www.wral.com","A new EPA proposal tightens restrictions of carbon emissions from the power sector, driving concerns that costs of compliance could be passed on to consumers.","Liz McLaughlin",""
"17","Oxford company aims to cut carbon by using grass to build homes","<a href='https://www.wral.com/story/plant-d-aims-to-cut-carbon-by-using-grass-to-build-homes/20892161/' target='_blank'>Link to Article</a>","2023-06-02","www.wral.com","Plantd, a climate tech company, is developing a manufacturing facility in Oxford to create plywood-like panels made from perennial grasses grown by local farmers. The company's co-founders say the carbon-negative materials could have a big impact on the high-emission construction industry.","Liz McLaughlin",""
