"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"1","Georgia Attorney General Carr opposes NOAA whale boat speed rule","<a href='https://www.savannahnow.com/story/news/environment/2023/05/12/georgia-attorney-general-carr-opposes-noaa-north-atlantic-right-whale-boat-speed-rule/70207946007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Georgia Attorney General Chris Carr joined a group of state AGs opposing a NOAA boat speed limits aimed at saving endangered right whales.","Marisa Mecke",""
"2","citrus greening disease brings citrus up to Georgia farmers","<a href='https://www.savannahnow.com/story/news/environment/2023/06/03/citrus-greening-disease-brings-citrus-up-to-georgia-farmers/70270299007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","The peach state is taking on a new flavor as citrus greening has damaged Florida's crop and pushed citrus farming north to Georgia.","Marisa Mecke",""
"3","NOAA announces 2023 hurricane season, near-normal season el ...","<a href='https://www.savannahnow.com/story/weather/hurricane/2023/05/30/noaa-announces-2023-hurricane-season-near-normal-season-el-nino/70247724007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","NOAA announced its 2023 hurricane forecast, estimating a near-average season.","Marisa Mecke",""
"4","EPA, Ossoff announce $4 billion in federal funding for port ...","<a href='https://www.savannahnow.com/story/news/environment/2023/05/05/epa-announces-inflation-reduction-act-port-electrification-funding-clean-air/70188808007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Michael Regan, EPA administrator, came to Savannah with Sen. Jon Ossoff to announce federal funding for port electrification.","Marisa Mecke",""
"5","Study ranks Savannah 3rd for highest rate of sea-level rise","<a href='https://www.savannahnow.com/story/news/environment/2023/05/20/study-ranks-savannah-3rd-for-highest-rate-of-sea-level-rise/70219492007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","A new study ranked Savannah third out of 32 coastal cities for its rate of sea-level rise.","Marisa Mecke",""
"6","U.S. Supreme Court decision could leave Georgia wetlands ...","<a href='https://www.savannahnow.com/story/news/environment/2023/06/02/supreme-court-decision-could-leave-georgia-wetlands-unprocted-at-risk/70268972007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","The U.S. Supreme Court decision in Sackett v. EPA scaled back federal wetland protections and conservationists fear it puts Georgia at risk.","Marisa Mecke",""
"7","Contractors build concrete plants at Hyundai site without air permits","<a href='https://www.savannahnow.com/story/news/environment/2023/05/25/contractors-build-cement-plants-at-hyundai-site-without-air-permits/70251836007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Hyundai is being constructed from the ground up, but the contractors creating the concrete for the metaplant made and operated without necessary permits.","Marisa Mecke",""
"8","Effingham planning board approves industrial zoning water intake","<a href='https://www.savannahnow.com/story/news/environment/2023/05/03/effingham-planning-board-approves-industrial-zoning-water-intake/70178882007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Despite protests, the Effingham County planning board approved zoning for industrial warehouse development next to the tri-county water intake.","Marisa Mecke",""
"9","Plant Vogtle Unit 4 completes hot functional testing","<a href='https://www.savannahnow.com/story/news/environment/2023/05/01/plant-vogtle-unit-4-completes-hot-functional-testing/70172324007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Plant Vogtle Unit 4 completed hot functional testing, the last major test before operators can begin loading nuclear fuel.","Marisa Mecke",""
"10","Georgia farms mitigate climate change with hybrid pecans, organics","<a href='https://www.savannahnow.com/story/news/environment/2023/04/27/georgia-farms-mitigate-climate-change-with-hybrid-pecans-organics/70149706007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Farmers are uniquely challenged by climate change, but from hybrid plants to new practices they are finding new ways to grow better crops.","Marisa Mecke",""
"11","Archeology on Fort Pulaski unveils history, climate and land changes","<a href='https://www.savannahnow.com/story/news/local/2023/04/28/archeology-on-fort-pulaski-unveils-history-climate-and-land-changes/70154620007/' target='_blank'>Link to Article</a>",NA,"www.savannahnow.com","Fort Pulaski is known for its historic brick façade, but archaeological digs on the property tell of the site's former forts and occupants.","Marisa Mecke",""
