"","Var1","Freq"
"1","ABC",34
"2","AJC",3
"3","BBC",1
"4","BRUNSWICK NEWS",1
"5","CBN",2
"6","CBS",12
"7","CLAYTON TRIBUNE",1
"8","CNN",33
"9","FOX",57
"10","FOX5",37
"11","GOOGLE",7
"12","GPB",1
"13","HLN",1
"14","MSNBC",3
"15","NBC",24
"16","NEWS24",1
"17","NEWSPAPER",7
"18","NYT",5
"19","OAN",2
"20","other",2
"21","RADIO",5
"22","SOCIAL MEDIA",24
"23","USA",1
"24","WALB",6
"25","WAPO",1
"26","WDHN",1
"27","WDUN-RADIO",1
"28","WGCL",4
"29","WJBF",5
"30","WLBT",3
"31","WMAZ",14
"32","WPCH-TV",1
"33","WRDW",2
"34","WSBTV",28
"35","WSOCTV",1
"36","WTOC",7
"37","WTVM",8
"38","WXIA",5
